Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
6h 4d 2h,5h,Ad3d,0.972,76.69,11.7007,127.138,0.50,11.36,90.03,11.70,9.46,11.70
6h 4d 2h,5h,Ad5d,0.974,49.59,4.91451,82.5862,0.19,4.52,0.14,4.36,99.67,4.92
6h 4d 2h,5h,Ad6d,0.996,54.51,5.54319,84.7503,0.17,4.94,0.19,5.26,99.64,5.54
6h 4d 2h,5h,Ad7d,0.761,30.59,3.40518,92.7559,0.72,3.27,54.27,3.41,45.01,3.41
6h 4d 2h,5h,Ad8d,0.755,28.58,2.88064,83.9932,0.28,2.74,98.63,2.88,1.09,2.70
6h 4d 2h,5h,Ad9d,0.427,24.65,2.06646,69.8533,0.30,1.86,94.68,2.07,5.03,1.99
6h 4d 2h,5h,AdTd,0.588,27.93,2.32375,69.344,0.84,2.15,0.86,2.32,98.30,2.33
6h 4d 2h,5h,AdJd,0.630,30.67,2.66736,72.4665,0.68,2.51,0.57,2.62,98.75,2.67
6h 4d 2h,5h,AdQd,0.804,33.72,3.05762,75.57,0.53,2.91,0.35,2.89,99.13,3.06
6h 4d 2h,5h,AdKd,0.681,37.23,3.44395,77.0968,0.39,3.20,0.25,3.12,99.36,3.45
6h 4d 2h,5h,Ad3h,0.575,79.27,12.7235,133.75,27.22,12.72,71.87,12.73,0.91,12.57
6h 4d 2h,5h,Ad4h,0.715,52.91,5.77873,91.0191,14.39,5.77,0.54,5.66,85.07,5.78
6h 4d 2h,5h,Ad7h,0.597,39.69,4.65734,97.7824,0.85,4.64,95.98,4.66,3.16,4.56
6h 4d 2h,5h,Ad8h,0.289,38.41,4.20631,91.2668,48.78,4.21,49.80,4.21,1.42,4.03
6h 4d 2h,5h,Ad9h,0.125,35.84,3.61754,84.1149,87.05,3.62,9.62,3.61,3.32,3.50
6h 4d 2h,5h,AdTh,0.148,38.27,3.87583,84.387,0.63,3.76,0.72,3.78,98.66,3.88
6h 4d 2h,5h,AdJh,0.265,42.42,4.55149,89.4113,1.42,4.46,0.62,4.48,97.96,4.55
6h 4d 2h,5h,AdQh,0.467,46.15,5.23792,94.5898,1.08,5.04,0.18,5.14,98.74,5.24
6h 4d 2h,5h,AdKh,0.553,50.37,6.18887,102.4,21.53,6.19,58.42,6.19,20.05,6.18
6h 4d 2h,5h,Ad2s,0.525,39.69,3.7282,78.2717,0.80,3.64,0.31,3.48,98.89,3.73
6h 4d 2h,5h,Ad3s,0.227,76.73,11.7154,127.229,0.49,11.37,97.72,11.72,1.80,11.71
6h 4d 2h,5h,Ad4s,0.603,44.25,4.20049,79.1034,0.48,4.06,0.23,3.82,99.29,4.20
6h 4d 2h,5h,Ad5s,0.265,49.50,4.90319,82.547,0.19,4.50,0.14,4.34,99.67,4.90
6h 4d 2h,5h,Ad6s,0.994,54.43,5.53501,84.7435,0.17,4.95,0.19,5.25,99.64,5.54
6h 4d 2h,5h,Ad7s,0.551,30.98,3.46637,93.2409,0.32,3.32,90.97,3.47,8.71,3.43
6h 4d 2h,5h,Ad8s,0.390,28.85,2.90527,83.9296,0.26,2.73,98.77,2.91,0.97,2.72
6h 4d 2h,5h,Ad9s,0.453,25.13,2.08874,69.2623,0.38,1.91,95.97,2.09,3.65,2.03
6h 4d 2h,5h,AdTs,0.662,28.03,2.32798,69.2137,0.92,2.17,11.69,2.33,87.39,2.33
6h 4d 2h,5h,AdJs,0.614,31.16,2.69289,72.0231,0.91,2.56,0.75,2.67,98.34,2.69
6h 4d 2h,5h,AdQs,0.349,34.38,3.08233,74.7163,0.59,2.92,0.44,2.94,98.97,3.08
6h 4d 2h,5h,AdKs,0.372,37.89,3.51984,77.4059,0.40,3.30,0.26,3.20,99.35,3.52
6h 4d 2h,5h,3h3c,0.696,82.29,13.7304,139.038,0.32,13.40,99.30,13.73,0.39,13.49
6h 4d 2h,5h,3h3d,0.715,82.27,13.7196,138.967,0.32,13.40,99.27,13.72,0.40,13.49
6h 4d 2h,5h,4h4c,0.999,79.52,14.1211,147.975,17.84,14.12,81.69,14.12,0.47,13.83
6h 4d 2h,5h,7h7c,0.981,66.45,8.36245,104.865,0.17,8.16,99.09,8.36,0.74,8.17
