Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Ah Qd Jc,Kh,Ad8h,0.355,41.46,2.94697,59.2335,0.10,3.61,0.11,4.51,99.80,2.94
Ah Qd Jc,Kh,Ad9h,0.251,41.58,2.9366,58.8584,0.10,3.63,0.11,4.47,99.80,2.93
Ah Qd Jc,Kh,AdTh,0.418,85.35,13.2594,129.456,0.55,12.03,99.21,13.27,0.24,13.24
Ah Qd Jc,Kh,AdJh,0.756,69.09,8.09464,97.6343,0.04,7.52,97.43,8.07,2.53,9.04
Ah Qd Jc,Kh,AdQh,0.951,71.91,8.6837,100.637,0.08,8.11,88.57,8.55,11.35,9.71
Ah Qd Jc,Kh,Ad2s,0.423,41.88,3.1176,62.0283,0.10,3.67,0.11,4.27,99.80,3.12
Ah Qd Jc,Kh,Ad3s,0.419,41.88,3.11513,61.9791,0.10,3.67,0.11,4.27,99.80,3.11
Ah Qd Jc,Kh,Ad4s,0.407,41.88,3.11826,62.0413,0.10,3.67,0.10,4.27,99.80,3.12
Ah Qd Jc,Kh,Ad5s,0.487,41.72,3.11538,62.2334,0.10,3.64,0.11,4.24,99.80,3.11
Ah Qd Jc,Kh,Ad6s,0.613,41.10,3.09422,62.7314,0.10,3.54,0.11,4.15,99.80,3.09
Ah Qd Jc,Kh,Ad7s,0.549,41.10,3.07422,62.3349,0.10,3.53,0.11,4.15,99.80,3.07
Ah Qd Jc,Kh,Ad8s,0.427,41.01,3.43629,69.8326,0.09,3.51,23.38,4.18,76.53,3.21
Ah Qd Jc,Kh,Ad9s,0.368,41.18,3.3633,68.0534,0.09,3.54,16.12,4.21,83.79,3.20
Ah Qd Jc,Kh,AdTs,0.284,85.22,13.4347,131.379,0.26,11.64,94.15,13.46,5.59,13.15
Ah Qd Jc,Kh,AdJs,0.694,68.76,8.00123,96.9654,0.08,7.46,87.88,7.87,12.05,8.96
Ah Qd Jc,Kh,AdQs,0.949,71.67,8.86374,103.058,0.10,8.00,57.39,8.34,42.51,9.57
Ah Qd Jc,Kh,AdKs,0.629,72.70,9.88876,113.344,0.02,7.97,1.07,8.35,98.91,9.91
Ah Qd Jc,Kh,2h2c,0.378,10.54,3.77324,298.298,0.18,3.94,98.08,3.79,1.74,2.66
Ah Qd Jc,Kh,2h2d,0.364,10.54,3.77418,298.374,0.19,3.94,98.16,3.79,1.65,2.66
Ah Qd Jc,Kh,3h3c,0.390,10.54,3.77057,298.089,0.18,3.94,97.82,3.79,2.00,2.66
Ah Qd Jc,Kh,3h3d,0.375,10.54,3.77077,298.109,0.18,3.94,97.83,3.79,1.99,2.66
Ah Qd Jc,Kh,4h4c,0.402,10.54,3.77036,298.074,0.18,3.94,97.74,3.79,2.08,2.66
Ah Qd Jc,Kh,4h4d,0.387,10.54,3.77008,298.053,0.18,3.94,97.72,3.79,2.09,2.66
Ah Qd Jc,Kh,5h5c,0.273,10.25,3.75831,305.661,0.19,3.90,96.57,3.80,3.24,2.66
Ah Qd Jc,Kh,5h5d,0.293,10.25,3.75707,305.564,0.19,3.90,96.44,3.80,3.37,2.65
Ah Qd Jc,Kh,6h6c,0.019,10.11,3.71827,306.591,0.17,3.75,98.19,3.74,1.64,2.70
Ah Qd Jc,Kh,6h6d,0.019,10.11,3.71755,306.521,0.17,3.75,98.20,3.73,1.62,2.70
Ah Qd Jc,Kh,6h5h,0.013,23.26,6.44781,230.988,0.28,6.53,99.18,6.45,0.54,5.61
Ah Qd Jc,Kh,7h7c,0.009,11.56,3.72168,268.342,0.13,3.74,99.01,3.73,0.86,2.55
Ah Qd Jc,Kh,7h7d,0.009,11.56,3.72376,268.49,0.13,3.74,99.04,3.73,0.83,2.58
Ah Qd Jc,Kh,7h5h,0.007,23.48,6.46872,229.555,0.28,6.52,99.19,6.47,0.53,5.59
Ah Qd Jc,Kh,7h6h,0.006,23.43,6.44661,229.241,0.26,6.47,99.25,6.45,0.49,5.60
Ah Qd Jc,Kh,8h8c,0.006,13.08,4.2064,267.952,0.13,3.93,99.34,4.22,0.53,2.55
Ah Qd Jc,Kh,8h8d,0.005,13.08,4.18097,266.328,0.14,3.93,99.39,4.19,0.47,2.59
Ah Qd Jc,Kh,8h6h,0.005,23.90,6.75569,235.557,0.26,6.56,99.34,6.76,0.39,5.74
