Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 7%,BET 7 EV,BET 3%,BET 3 EV,CHECK%,CHECK EV
Ah Qd Jc,5s,Kd7s,0.825,15.33,0.70558,76.7264,14.93,0.70,2.94,0.70,82.13,0.71
Ah Qd Jc,5s,Kd8s,0.821,15.88,0.68304,71.6948,0.59,0.54,0.20,0.55,99.21,0.68
Ah Qd Jc,5s,Kd9s,0.792,16.99,0.71501,70.1245,0.46,0.51,0.16,0.53,99.39,0.72
Ah Qd Jc,5s,KdTs,0.037,97.22,13.5227,231.822,99.40,13.52,0.58,13.27,0.01,12.40
Ah Qd Jc,5s,KdJs,0.742,52.37,2.92619,93.1217,0.20,2.48,3.26,2.92,96.54,2.93
Ah Qd Jc,5s,KdQs,0.459,64.78,3.94351,101.453,0.18,3.32,41.19,3.94,58.63,3.95
Ah Qd Jc,5s,Ad2c,0.713,72.47,4.80766,110.571,0.25,4.60,0.79,4.72,98.96,4.81
Ah Qd Jc,5s,Ad3c,0.729,72.47,4.806,110.534,0.27,4.60,0.72,4.72,99.02,4.81
Ah Qd Jc,5s,Ad4c,0.745,72.46,4.8053,110.533,0.26,4.60,0.79,4.72,98.96,4.81
Ah Qd Jc,5s,Ad5c,0.768,86.32,7.73047,149.256,19.43,7.73,80.31,7.73,0.25,7.36
Ah Qd Jc,5s,Ad6c,0.686,73.53,4.94194,112.022,0.84,4.85,1.08,4.89,98.09,4.94
Ah Qd Jc,5s,Ad7c,0.650,74.32,5.06306,113.542,29.44,5.06,11.06,5.05,59.50,5.06
Ah Qd Jc,5s,Ad8c,0.664,75.78,5.37078,118.117,6.23,5.35,37.64,5.37,56.13,5.37
Ah Qd Jc,5s,Ad9c,0.727,77.19,5.63653,121.696,9.77,5.63,64.13,5.64,26.11,5.64
Ah Qd Jc,5s,AdTc,0.646,83.77,6.59602,131.232,60.34,6.60,39.13,6.60,0.53,6.39
Ah Qd Jc,5s,AdQc,0.072,89.57,9.04044,168.219,70.98,9.04,28.93,9.05,0.09,8.27
Ah Qd Jc,5s,AdKc,0.579,86.27,7.24908,140.042,86.38,7.25,13.43,7.25,0.19,6.83
Ah Qd Jc,5s,AdAc,0.168,92.17,9.05416,163.726,0.29,8.89,94.48,9.06,5.23,9.03
Ah Qd Jc,5s,Ad2d,0.431,72.45,4.80546,110.55,0.24,4.60,0.80,4.72,98.96,4.81
Ah Qd Jc,5s,Ad3d,0.446,72.45,4.80469,110.53,0.27,4.60,0.71,4.72,99.02,4.81
Ah Qd Jc,5s,Ad4d,0.461,72.45,4.80563,110.549,0.26,4.60,0.74,4.72,99.00,4.81
Ah Qd Jc,5s,Ad5d,0.417,86.32,7.72956,149.25,36.93,7.73,62.81,7.73,0.25,7.36
Ah Qd Jc,5s,Ad6d,0.241,73.53,4.94416,112.062,0.82,4.85,1.04,4.89,98.14,4.95
Ah Qd Jc,5s,Ad7d,0.200,74.33,5.06753,113.621,19.94,5.07,10.50,5.05,69.55,5.07
Ah Qd Jc,5s,Ad8d,0.262,75.83,5.37969,118.242,4.23,5.35,80.68,5.38,15.09,5.38
Ah Qd Jc,5s,Ad9d,0.362,77.20,5.63753,121.707,7.93,5.63,76.04,5.64,16.03,5.63
Ah Qd Jc,5s,AdTd,0.593,83.77,6.5923,131.156,56.87,6.59,42.58,6.59,0.54,6.39
Ah Qd Jc,5s,AdJd,0.167,89.25,8.57371,160.101,65.66,8.58,34.16,8.57,0.18,8.11
Ah Qd Jc,5s,AdKd,0.171,86.26,7.24764,140.028,79.71,7.25,20.09,7.24,0.19,6.84
