Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Ah Qd Jc,Ks,Th8s,0.831,84.20,13.4897,133.51,0.26,12.84,91.78,13.49,7.96,13.46
Ah Qd Jc,Ks,Th9s,0.778,84.20,13.4968,133.579,0.31,12.80,86.83,13.50,12.86,13.49
Ah Qd Jc,Ks,Jh8c,0.458,10.53,1.58469,125.374,0.29,0.92,78.83,1.59,20.88,1.59
Ah Qd Jc,Ks,Jh9c,0.454,10.53,1.57436,124.587,0.29,0.92,83.26,1.58,16.45,1.57
Ah Qd Jc,Ks,JhTc,0.270,84.79,13.6888,134.536,0.17,12.66,15.22,13.68,84.60,13.69
Ah Qd Jc,Ks,Jh8d,0.318,10.53,1.71158,135.513,0.29,0.99,89.10,1.71,10.61,1.71
Ah Qd Jc,Ks,Jh9d,0.340,10.52,1.68502,133.452,0.31,0.97,90.38,1.69,9.32,1.68
Ah Qd Jc,Ks,JhTd,0.178,84.79,13.6908,134.556,0.18,12.66,16.41,13.68,83.42,13.70
Ah Qd Jc,Ks,JhJd,0.839,74.33,10.9724,123.008,0.18,9.90,74.09,10.98,25.73,10.97
Ah Qd Jc,Ks,Jh7h,0.445,10.55,1.58599,125.277,0.30,0.89,65.66,1.59,34.05,1.59
Ah Qd Jc,Ks,Jh8h,0.901,10.53,1.66875,132.006,0.27,0.93,86.44,1.67,13.29,1.66
Ah Qd Jc,Ks,Jh9h,0.843,10.53,1.63195,129.135,0.28,0.92,90.72,1.63,9.00,1.62
Ah Qd Jc,Ks,JhTh,0.536,84.80,13.6926,134.561,0.17,12.66,14.63,13.68,85.20,13.70
Ah Qd Jc,Ks,Jh8s,0.152,10.53,1.80163,142.59,0.30,1.09,89.13,1.81,10.57,1.79
Ah Qd Jc,Ks,Jh9s,0.153,10.53,1.80949,143.266,0.31,1.15,94.19,1.81,5.49,1.80
Ah Qd Jc,Ks,JhTs,0.185,84.77,13.6887,134.563,0.17,12.67,15.14,13.68,84.69,13.69
Ah Qd Jc,Ks,Qh8c,0.482,11.00,1.46767,111.191,0.31,0.84,80.33,1.47,19.36,1.46
Ah Qd Jc,Ks,Qh9c,0.539,10.97,1.45785,110.714,0.32,0.83,79.99,1.46,19.69,1.46
Ah Qd Jc,Ks,QhTc,0.150,84.71,13.7873,135.632,0.23,12.86,95.62,13.79,4.15,13.77
Ah Qd Jc,Ks,QhQc,0.845,74.85,11.407,126.996,0.23,10.49,55.81,11.41,43.96,11.41
Ah Qd Jc,Ks,Qh8d,0.466,11.18,1.59963,119.232,0.30,0.89,95.91,1.60,3.79,1.58
Ah Qd Jc,Ks,Qh9d,0.486,11.18,1.57199,117.154,0.31,0.88,94.85,1.58,4.84,1.55
Ah Qd Jc,Ks,QhTd,0.195,84.70,13.7849,135.623,0.23,12.85,93.29,13.79,6.48,13.77
Ah Qd Jc,Ks,QhJd,0.752,51.76,6.33186,101.941,0.09,4.28,23.34,6.33,76.58,6.34
Ah Qd Jc,Ks,Qh7h,0.744,11.13,1.43867,107.698,0.32,0.79,63.30,1.44,36.39,1.44
Ah Qd Jc,Ks,Qh8h,0.844,11.18,1.61562,120.458,0.30,0.89,88.70,1.62,11.00,1.60
Ah Qd Jc,Ks,Qh9h,0.775,11.18,1.57841,117.677,0.31,0.88,95.10,1.58,4.59,1.56
Ah Qd Jc,Ks,QhTh,0.421,84.75,13.7824,135.525,0.22,12.86,93.57,13.79,6.20,13.78
Ah Qd Jc,Ks,QhJh,0.943,51.92,6.37282,102.28,0.09,4.32,19.43,6.37,80.49,6.38
Ah Qd Jc,Ks,Qh8s,0.401,11.18,1.68888,125.831,0.30,0.99,92.48,1.69,7.23,1.65
Ah Qd Jc,Ks,Qh9s,0.397,11.19,1.6973,126.444,0.30,1.05,95.81,1.70,3.89,1.67
Ah Qd Jc,Ks,QhTs,0.190,84.70,13.7848,135.623,0.23,12.85,91.36,13.79,8.42,13.78
Ah Qd Jc,Ks,QhJs,0.764,51.75,6.3307,101.948,0.09,4.26,28.40,6.33,71.51,6.33
