Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Jh 4d 2h,Js,Kd7s,0.377,24.62,1.65764,56.1078,2.76,3.55,9.03,3.47,88.21,1.41
Jh 4d 2h,Js,Kd8s,0.067,26.02,2.15682,69.0639,4.59,3.57,29.04,3.49,66.37,1.48
Jh 4d 2h,Js,Kd9s,0.100,27.60,3.15755,95.324,70.08,3.66,5.73,3.52,24.19,1.63
Jh 4d 2h,Js,KdTs,0.181,29.17,1.74717,49.9081,2.64,3.79,1.54,3.68,95.82,1.66
Jh 4d 2h,Js,KdQs,0.083,30.08,1.7629,48.8318,0.45,3.77,0.39,3.65,99.16,1.75
Jh 4d 2h,Js,Ad2c,0.837,58.40,6.68574,95.4001,0.12,5.18,0.14,6.33,99.73,6.69
Jh 4d 2h,Js,Ad3c,0.690,41.53,4.23187,84.9163,11.02,5.32,1.84,5.26,87.14,4.07
Jh 4d 2h,Js,Ad4c,0.807,65.36,8.16991,104.158,0.13,6.53,2.89,7.63,96.98,8.19
Jh 4d 2h,Js,Ad5c,0.645,44.35,4.96416,93.2741,3.38,5.68,39.89,5.60,56.73,4.47
Jh 4d 2h,Js,Ad6c,0.893,40.41,4.23759,87.3932,1.64,4.59,33.06,4.49,65.30,4.10
Jh 4d 2h,Js,Ad7c,0.772,42.55,4.71667,92.3666,3.13,4.76,5.36,4.61,91.51,4.72
Jh 4d 2h,Js,Ad8c,0.192,44.82,4.7994,89.2306,0.55,4.84,1.00,4.67,98.45,4.80
Jh 4d 2h,Js,Ad9c,0.070,47.58,5.12338,89.7362,0.34,4.95,0.37,4.87,99.29,5.12
Jh 4d 2h,Js,AdTc,0.251,50.62,5.51431,90.7835,0.20,5.06,0.30,5.35,99.50,5.52
Jh 4d 2h,Js,AdJc,0.975,96.55,18.0701,155.958,76.27,18.04,23.34,18.12,0.39,19.89
Jh 4d 2h,Js,AdQc,0.062,53.73,4.92472,76.3788,0.14,5.14,0.33,5.88,99.53,4.92
Jh 4d 2h,Js,AdKc,0.094,56.81,5.78121,84.8034,0.13,5.15,0.24,6.21,99.62,5.78
Jh 4d 2h,Js,AdAc,0.999,84.67,13.4746,132.625,3.30,11.92,0.55,11.90,96.15,13.54
Jh 4d 2h,Js,Ad2d,0.985,58.40,6.69698,95.559,0.12,5.18,0.15,6.34,99.73,6.70
Jh 4d 2h,Js,Ad3d,0.988,41.53,3.80847,76.4142,6.15,5.32,1.66,5.26,92.19,3.68
Jh 4d 2h,Js,Ad5d,0.988,44.36,4.46293,83.8391,2.74,5.69,29.17,5.61,68.08,3.92
Jh 4d 2h,Js,Ad6d,0.514,40.41,3.97672,82.0051,1.59,4.59,30.01,4.49,68.40,3.74
Jh 4d 2h,Js,Ad7d,0.280,42.56,4.73131,92.6445,21.64,4.77,5.28,4.61,73.09,4.73
Jh 4d 2h,Js,Ad8d,0.094,44.82,4.45019,82.7334,0.61,4.85,1.09,4.68,98.30,4.45
Jh 4d 2h,Js,Ad9d,0.051,47.56,3.4047,59.6586,0.30,4.97,0.34,4.91,99.36,3.39
Jh 4d 2h,Js,AdTd,0.132,50.62,5.13314,84.5104,0.21,5.06,0.30,5.35,99.50,5.13
Jh 4d 2h,Js,AdJd,0.992,96.59,18.1286,156.407,74.48,18.10,25.17,18.19,0.35,19.91
Jh 4d 2h,Js,AdQd,0.943,53.56,4.23587,65.9002,0.13,5.11,0.31,5.85,99.57,4.23
Jh 4d 2h,Js,AdKd,0.935,56.75,5.06374,74.357,0.14,5.18,0.24,6.22,99.62,5.06
Jh 4d 2h,Js,Ad3h,0.741,41.71,3.92075,78.3323,3.28,5.36,17.38,5.32,79.34,3.55
Jh 4d 2h,Js,Ad4h,0.962,65.55,8.22165,104.526,0.13,6.63,4.46,7.67,95.41,8.25
Jh 4d 2h,Js,Ad5h,0.777,44.54,4.23576,79.249,2.68,5.74,11.56,5.65,85.76,4.00
Jh 4d 2h,Js,Ad6h,0.829,40.61,4.37055,89.6839,2.15,4.66,76.14,4.55,21.71,3.70
Jh 4d 2h,Js,Ad7h,0.641,42.55,3.56295,69.7784,1.26,4.75,6.44,4.62,92.30,3.47
Jh 4d 2h,Js,Ad8h,0.135,44.83,4.24543,78.9097,0.44,4.83,0.78,4.70,98.78,4.24
Jh 4d 2h,Js,Ad9h,0.140,47.80,3.58769,62.5459,0.26,5.05,0.28,5.01,99.46,3.58
Jh 4d 2h,Js,AdTh,0.050,50.96,3.74034,61.1654,0.20,5.21,0.25,5.49,99.56,3.73
Jh 4d 2h,Js,AdQh,0.275,53.87,4.26577,65.9947,0.10,5.18,0.26,6.03,99.64,4.26
Jh 4d 2h,Js,AdKh,0.481,56.74,4.79342,70.3945,0.09,5.09,0.20,6.23,99.71,4.79
