Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 7%,BET 7 EV,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 4d 2h,9h,JsJc,0.001,92.91,10.1406,181.915,99.70,10.14,0.24,9.82,0.06,9.16
Jh 4d 2h,9h,Js8d,0.762,77.63,5.36107,115.096,6.21,5.36,88.21,5.36,5.58,5.35
Jh 4d 2h,9h,Js9d,0.701,88.78,7.54914,141.713,7.04,7.55,92.46,7.55,0.50,7.41
Jh 4d 2h,9h,JsTd,0.329,78.18,5.40596,115.243,2.09,5.38,95.09,5.41,2.82,5.38
Jh 4d 2h,9h,JsJd,0.001,92.91,10.1491,182.053,99.71,10.15,0.23,9.82,0.06,9.17
Jh 4d 2h,9h,Js8h,0.130,83.87,6.10715,121.362,39.77,6.11,34.20,6.11,26.04,6.10
Jh 4d 2h,9h,JsTh,0.089,84.29,6.16284,121.858,3.21,6.16,88.73,6.16,8.06,6.14
Jh 4d 2h,9h,Js7s,0.930,77.52,5.37732,115.616,2.28,5.37,94.45,5.38,3.27,5.35
Jh 4d 2h,9h,Js8s,0.707,77.62,5.36079,115.102,3.46,5.36,91.46,5.36,5.08,5.35
Jh 4d 2h,9h,Js9s,0.505,88.85,7.50756,140.825,6.51,7.51,93.01,7.51,0.48,7.38
Jh 4d 2h,9h,JsTs,0.290,78.19,5.40831,115.288,2.29,5.38,94.60,5.41,3.11,5.39
Jh 4d 2h,9h,Qs8c,0.507,19.33,1.76407,152.067,3.01,1.73,74.68,1.77,22.32,1.77
Jh 4d 2h,9h,Qs9c,0.510,74.38,4.75855,106.631,0.43,4.52,24.16,4.76,75.41,4.76
Jh 4d 2h,9h,QsTc,0.312,27.85,2.61675,156.601,27.42,2.62,28.40,2.61,44.18,2.62
Jh 4d 2h,9h,QsJc,0.458,79.09,5.51185,116.15,2.99,5.48,88.98,5.51,8.03,5.51
Jh 4d 2h,9h,QsQc,0.005,79.91,5.99011,124.937,1.19,5.96,98.41,5.99,0.40,5.80
Jh 4d 2h,9h,Qs8d,0.322,19.34,1.77027,152.545,3.13,1.74,69.34,1.77,27.53,1.77
Jh 4d 2h,9h,Qs9d,0.210,73.99,4.72746,106.487,0.39,4.47,11.15,4.72,88.46,4.73
Jh 4d 2h,9h,QsTd,0.313,27.85,2.62719,157.206,26.63,2.62,29.89,2.63,43.49,2.63
Jh 4d 2h,9h,QsJd,0.666,79.01,5.49887,115.995,2.91,5.47,88.92,5.50,8.17,5.50
Jh 4d 2h,9h,QsQd,0.005,79.98,5.98959,124.821,1.21,5.96,98.38,5.99,0.41,5.80
Jh 4d 2h,9h,Qs8h,0.075,33.50,2.82062,140.308,27.35,2.82,8.73,2.80,63.92,2.82
Jh 4d 2h,9h,QsTh,0.347,40.54,3.60317,148.135,3.56,3.57,85.36,3.60,11.09,3.60
Jh 4d 2h,9h,QsQh,0.006,86.83,7.06166,135.548,44.35,7.06,55.38,7.07,0.27,6.81
Jh 4d 2h,9h,Qs7s,0.803,11.18,1.24164,185.131,1.92,1.24,96.23,1.24,1.85,1.19
Jh 4d 2h,9h,Qs8s,0.508,19.33,1.76407,152.067,3.01,1.73,74.72,1.77,22.27,1.77
Jh 4d 2h,9h,Qs9s,0.510,74.38,4.75854,106.631,0.43,4.52,24.57,4.76,75.00,4.76
Jh 4d 2h,9h,QsTs,0.496,27.84,2.61683,156.657,22.48,2.62,34.21,2.62,43.31,2.62
Jh 4d 2h,9h,QsJs,0.460,79.09,5.51194,116.151,2.99,5.48,89.12,5.51,7.89,5.51
Jh 4d 2h,9h,Ks7c,0.858,19.91,0.87238,73.0311,1.70,0.83,51.64,0.87,46.66,0.87
Jh 4d 2h,9h,Ks8c,0.970,22.32,0.92706,69.2233,1.28,0.85,44.97,0.93,53.75,0.93
Jh 4d 2h,9h,Ks9c,0.953,76.26,5.03,109.926,0.58,4.89,9.35,5.03,90.07,5.03
Jh 4d 2h,9h,KsTc,0.875,31.97,1.73287,90.3333,3.05,1.69,40.98,1.73,55.97,1.73
Jh 4d 2h,9h,KsJc,0.319,79.28,5.60015,117.723,2.01,5.55,32.86,5.60,65.13,5.60
Jh 4d 2h,9h,KsQc,0.781,32.20,1.79425,92.8798,3.63,1.79,29.76,1.79,66.61,1.79
Jh 4d 2h,9h,KsKc,0.003,80.22,6.38925,132.738,0.52,6.26,99.24,6.39,0.24,6.14
Jh 4d 2h,9h,Ks7d,0.833,19.91,0.87636,73.3594,1.72,0.83,49.87,0.88,48.40,0.88
Jh 4d 2h,9h,Ks8d,0.954,22.34,0.93032,69.3998,1.33,0.86,57.62,0.93,41.05,0.93
Jh 4d 2h,9h,Ks9d,0.863,75.97,5.00639,109.83,0.56,4.86,2.78,5.01,96.66,5.01
Jh 4d 2h,9h,KsTd,0.816,31.97,1.74137,90.774,3.35,1.70,46.55,1.74,50.10,1.74
Jh 4d 2h,9h,KsJd,0.501,79.20,5.58747,117.579,1.95,5.53,23.66,5.59,74.39,5.59
Jh 4d 2h,9h,KsQd,0.920,32.20,1.81085,93.7269,3.73,1.81,54.46,1.81,41.81,1.81
Jh 4d 2h,9h,KsKd,0.003,80.23,6.37213,132.371,0.56,6.25,99.19,6.37,0.25,6.12
Jh 4d 2h,9h,Ks7h,0.256,33.90,2.04397,100.495,1.32,2.00,1.09,1.99,97.59,2.05
Jh 4d 2h,9h,Ks8h,0.562,36.12,2.09417,96.6211,1.62,2.08,3.60,2.08,94.78,2.10
Jh 4d 2h,9h,KsTh,0.541,43.90,2.82027,107.065,2.33,2.78,5.03,2.81,92.63,2.82
Jh 4d 2h,9h,KsQh,0.340,45.57,3.0589,111.869,37.86,3.06,39.01,3.06,23.13,3.06
Jh 4d 2h,9h,KsKh,0.004,88.53,7.69883,144.945,1.09,7.53,98.86,7.70,0.06,7.35
Jh 4d 2h,9h,Ks2s,0.223,53.41,2.95078,92.0789,0.25,2.68,0.13,2.71,99.63,2.95
Jh 4d 2h,9h,Ks3s,0.236,13.21,0.93075,117.396,1.24,0.91,95.45,0.93,3.31,0.89
Jh 4d 2h,9h,Ks4s,0.517,57.23,3.16502,92.1767,0.20,2.69,0.10,3.03,99.71,3.17
Jh 4d 2h,9h,Ks5s,0.168,15.47,0.94793,102.103,1.66,0.93,93.96,0.95,4.38,0.93
Jh 4d 2h,9h,Ks6s,0.259,17.70,0.90729,85.4538,1.00,0.84,4.65,0.88,94.35,0.91
Jh 4d 2h,9h,Ks7s,0.858,19.91,0.87239,73.0319,1.70,0.83,51.58,0.87,46.72,0.87
Jh 4d 2h,9h,Ks8s,0.970,22.32,0.92706,69.2231,1.28,0.85,44.97,0.93,53.75,0.93
Jh 4d 2h,9h,Ks9s,0.953,76.26,5.02997,109.926,0.58,4.89,9.36,5.03,90.06,5.03
Jh 4d 2h,9h,KsTs,0.911,31.97,1.73242,90.3227,3.00,1.69,27.43,1.73,69.57,1.73
Jh 4d 2h,9h,KsJs,0.320,79.28,5.60015,117.723,2.01,5.55,32.86,5.60,65.13,5.60
Jh 4d 2h,9h,KsQs,0.780,32.20,1.79425,92.8795,3.63,1.79,29.86,1.79,66.51,1.79
Jh 4d 2h,9h,As2c,0.080,54.72,3.01037,91.6856,0.25,2.71,0.15,2.86,99.60,3.01
Jh 4d 2h,9h,As3c,0.338,35.68,1.92034,89.713,1.53,1.89,13.35,1.92,85.12,1.92
Jh 4d 2h,9h,As4c,0.116,59.23,3.29429,92.6924,0.23,2.90,0.14,3.24,99.63,3.30
Jh 4d 2h,9h,As5c,0.383,36.83,1.98779,89.9556,1.11,1.92,45.28,1.99,53.61,1.99
