Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Jh 4d 2h,7h6h,0.511,44.80,4.02056,149.583,17.28,3.81,82.68,4.07,0.04,0.00
Jh 4d 2h,8h8c,0.670,60.15,2.65551,73.5787,16.78,3.17,83.16,2.55,0.06,0.00
Jh 4d 2h,8h8d,0.535,60.47,2.86081,78.8525,37.11,3.22,62.83,2.65,0.06,0.00
Jh 4d 2h,8h6h,0.459,45.50,4.188,153.413,22.80,3.99,77.16,4.25,0.03,0.00
Jh 4d 2h,8h7h,0.339,46.54,4.0751,145.937,38.43,3.71,61.54,4.30,0.03,0.00
Jh 4d 2h,9h8c,0.921,22.85,0.00417,0.304,0.38,1.13,0.06,-0.27,99.56,0.00
Jh 4d 2h,9h9c,0.590,61.12,2.85859,77.9556,12.51,3.50,87.44,2.77,0.06,0.00
Jh 4d 2h,9h8d,0.887,22.91,0.00488,0.35498,0.44,1.14,0.07,-0.23,99.49,0.00
Jh 4d 2h,9h9d,0.497,61.49,3.17847,86.1561,45.67,3.55,54.27,2.87,0.05,0.00
Jh 4d 2h,9h6h,0.444,45.18,3.93972,145.328,28.88,3.70,71.08,4.04,0.04,0.00
Jh 4d 2h,9h7h,0.339,45.96,3.95289,143.34,49.63,3.84,50.34,4.07,0.04,0.00
Jh 4d 2h,9h8h,0.219,47.38,4.25245,149.593,66.12,4.11,33.85,4.53,0.03,0.00
Jh 4d 2h,9h8s,0.921,22.85,0.00417,0.304,0.38,1.13,0.06,-0.27,99.56,0.00
Jh 4d 2h,Th8c,0.799,23.19,0.00618,0.44382,0.52,1.21,0.07,-0.18,99.41,0.00
Jh 4d 2h,Th9c,0.191,24.82,0.13636,9.15526,10.56,1.28,14.23,0.01,75.21,0.00
Jh 4d 2h,ThTc,0.377,62.85,3.15393,83.638,0.05,3.48,99.90,3.16,0.04,0.00
Jh 4d 2h,Th8d,0.518,23.17,0.00784,0.56392,0.64,1.24,0.08,-0.13,99.28,0.00
Jh 4d 2h,Th9d,0.069,24.84,0.55985,37.5658,40.89,1.30,45.47,0.06,13.64,0.00
Jh 4d 2h,ThTd,0.406,63.02,3.21253,84.9599,0.05,3.55,99.90,3.21,0.04,0.00
Jh 4d 2h,Th7h,0.355,46.42,3.88563,139.522,55.73,3.69,44.24,4.13,0.04,0.00
Jh 4d 2h,Th8h,0.382,47.55,4.17596,146.371,67.98,4.05,31.99,4.45,0.03,0.00
Jh 4d 2h,Th9h,0.516,48.71,4.33101,148.197,68.48,4.12,31.49,4.80,0.03,0.00
Jh 4d 2h,Th8s,0.799,23.19,0.00618,0.44382,0.52,1.21,0.07,-0.18,99.41,0.00
Jh 4d 2h,Th9s,0.191,24.82,0.13636,9.15527,10.56,1.28,14.23,0.01,75.21,0.00
Jh 4d 2h,Qh8c,0.259,25.05,1.41506,94.1306,68.25,2.00,29.78,0.17,1.97,0.00
Jh 4d 2h,Qh9c,0.438,27.07,2.03829,125.513,99.01,2.06,0.45,0.39,0.53,0.00
Jh 4d 2h,QhTc,0.442,29.46,1.70911,96.6959,72.72,2.15,26.93,0.53,0.35,0.00
Jh 4d 2h,QhJc,0.233,73.37,6.66189,151.321,0.93,5.96,99.06,6.67,0.01,0.00
Jh 4d 2h,QhQc,0.643,79.09,12.965,273.21,99.96,12.97,0.03,11.61,0.01,0.00
