Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 13%,BET 13 EV,CHECK%,CHECK EV
8h 4d 2h,AhTc,1.000,40.99,10.2135,103.816,98.43,10.22,1.57,9.92
8h 4d 2h,AhJc,1.000,50.57,10.8005,88.9839,27.41,10.80,72.59,10.80
8h 4d 2h,AhQc,1.000,60.35,13.2121,91.2206,7.38,13.20,92.62,13.21
8h 4d 2h,AhKc,1.000,66.56,15.5802,97.5345,27.77,15.58,72.23,15.58
8h 4d 2h,AhAc,1.000,93.30,45.5488,203.411,99.56,45.55,0.44,44.74
8h 4d 2h,AhTd,1.000,41.52,10.4962,105.34,98.46,10.50,1.54,10.21
8h 4d 2h,AhJd,1.000,51.18,11.0829,90.2197,33.68,11.08,66.32,11.08
8h 4d 2h,AhQd,1.000,60.70,13.4009,91.982,15.35,13.40,84.65,13.40
8h 4d 2h,AhKd,1.000,66.93,15.7384,97.9807,12.86,15.72,87.14,15.74
8h 4d 2h,AhAd,1.000,93.57,44.8624,199.767,98.68,44.87,1.32,44.57
8h 4d 2h,Ah3h,1.000,63.98,26.1483,170.284,99.53,26.15,0.47,25.22
8h 4d 2h,Ah4h,1.000,78.65,28.3937,150.415,53.51,28.39,46.49,28.39
8h 4d 2h,Ah5h,1.000,64.64,26.6657,171.879,99.47,26.67,0.53,25.85
8h 4d 2h,Ah6h,1.000,58.76,21.798,154.571,99.02,21.80,0.98,21.31
8h 4d 2h,Ah7h,1.000,58.96,21.9624,155.207,98.98,21.97,1.02,21.51
8h 4d 2h,Ah9h,1.000,58.99,22.0316,155.604,99.32,22.04,0.68,21.41
8h 4d 2h,AhTh,1.000,62.25,21.7331,145.475,37.46,21.73,62.54,21.74
8h 4d 2h,AhJh,1.000,68.76,23.0604,139.743,20.55,23.06,79.45,23.06
8h 4d 2h,AhQh,1.000,74.84,24.8553,138.374,12.16,24.85,87.84,24.86
8h 4d 2h,AhKh,1.000,78.95,26.8492,141.699,1.30,26.38,98.70,26.86
8h 4d 2h,AhTs,1.000,40.99,10.2135,103.816,98.43,10.22,1.57,9.92
8h 4d 2h,AhJs,1.000,50.57,10.8004,88.9841,27.41,10.80,72.59,10.80
8h 4d 2h,AhQs,1.000,60.35,13.2121,91.2209,7.38,13.20,92.62,13.21
8h 4d 2h,AhKs,1.000,66.56,15.5802,97.5346,27.77,15.58,72.23,15.58
8h 4d 2h,2s2c,1.000,92.68,46.4714,208.929,99.62,46.48,0.38,45.35
8h 4d 2h,2s2d,1.000,92.68,46.4654,208.902,99.62,46.47,0.38,45.36
8h 4d 2h,3s3c,1.000,56.67,11.5087,84.6157,84.53,11.52,15.47,11.46
8h 4d 2h,3s3d,1.000,56.71,11.5506,84.8619,82.83,11.56,17.17,11.51
8h 4d 2h,3s3h,1.000,58.41,12.2857,87.6425,3.58,12.11,96.42,12.29
8h 4d 2h,4s4c,1.000,92.75,46.6036,209.366,99.63,46.61,0.37,45.45
8h 4d 2h,4s4h,1.000,92.96,46.827,209.884,99.61,46.83,0.39,45.73
8h 4d 2h,5s5c,1.000,57.69,11.8929,85.8892,35.87,11.89,64.13,11.90
8h 4d 2h,5s5d,1.000,57.74,11.9335,86.1205,33.14,11.93,66.86,11.94
8h 4d 2h,5s5h,1.000,59.41,12.7062,89.1086,9.77,12.69,90.23,12.71
8h 4d 2h,5s4s,1.000,60.96,15.0476,102.847,63.45,15.05,36.55,15.05
8h 4d 2h,6s6c,1.000,58.19,12.2427,87.6585,32.20,12.25,67.80,12.24
8h 4d 2h,6s6d,1.000,58.24,12.3164,88.1123,12.96,12.28,87.04,12.32
8h 4d 2h,6s6h,1.000,59.99,13.2071,91.73,2.15,13.01,97.85,13.21
8h 4d 2h,6s5s,1.000,43.11,16.2654,157.221,57.06,16.26,42.94,16.27
8h 4d 2h,7s7c,1.000,59.95,13.1364,91.3028,74.38,13.15,25.62,13.11
8h 4d 2h,7s7d,1.000,60.01,13.1871,91.5665,54.61,13.18,45.39,13.19
8h 4d 2h,7s7h,1.000,61.82,14.0408,94.6396,3.14,13.85,96.86,14.05
8h 4d 2h,7s6s,1.000,32.05,11.0252,143.325,53.22,11.02,46.78,11.03
8h 4d 2h,8s8c,1.000,94.79,49.8511,219.136,99.61,49.86,0.39,48.74
8h 4d 2h,8s8d,1.000,94.79,49.8442,219.107,99.60,49.85,0.40,48.77
8h 4d 2h,8s7s,1.000,64.51,17.3555,112.097,31.65,17.36,68.35,17.35
8h 4d 2h,9s9c,1.000,62.58,14.9897,99.8003,50.93,15.00,49.07,14.98
8h 4d 2h,9s9d,1.000,62.72,15.0881,100.231,10.69,15.02,89.31,15.10
8h 4d 2h,9s9h,1.000,64.65,16.2585,104.784,64.32,16.26,35.68,16.25
8h 4d 2h,9s8s,1.000,65.08,17.7569,113.684,15.56,17.75,84.44,17.76
8h 4d 2h,TsTc,1.000,64.98,17.3978,111.557,98.10,17.40,1.90,17.33
8h 4d 2h,TsTd,1.000,65.37,17.5158,111.65,95.98,17.52,4.02,17.46
8h 4d 2h,TsTh,1.000,67.75,18.7411,115.252,70.84,18.74,29.16,18.74
8h 4d 2h,Ts8s,1.000,65.73,18.3611,116.386,1.48,18.01,98.52,18.37
8h 4d 2h,Ts9s,1.000,20.07,7.81078,162.123,82.56,7.81,17.44,7.81
8h 4d 2h,JsJc,1.000,70.80,24.1783,142.296,98.56,24.18,1.44,24.19
8h 4d 2h,JsJd,1.000,71.23,24.1142,141.053,91.64,24.11,8.36,24.11
8h 4d 2h,JsJh,1.000,74.04,25.5721,143.913,99.00,25.57,1.00,25.50
8h 4d 2h,Js9s,1.000,18.13,6.90309,158.67,80.67,6.90,19.33,6.91
8h 4d 2h,JsTs,1.000,17.36,6.44795,154.772,88.40,6.45,11.60,6.44
8h 4d 2h,QsJc,1.000,19.20,5.4376,117.995,44.31,5.43,55.69,5.44
8h 4d 2h,QsQc,1.000,77.38,32.0556,172.616,99.69,32.06,0.31,31.13
8h 4d 2h,QsJd,1.000,19.67,5.91141,125.242,82.19,5.91,17.81,5.90
8h 4d 2h,QsQd,1.000,77.66,31.6866,170.002,99.63,31.69,0.37,30.93
8h 4d 2h,QsJh,1.000,23.31,7.93208,141.804,78.09,7.93,21.91,7.94
8h 4d 2h,QsQh,1.000,80.50,32.7327,169.429,99.36,32.73,0.64,32.50
8h 4d 2h,Qs9s,1.000,18.18,6.63567,152.052,94.31,6.64,5.69,6.64
8h 4d 2h,QsTs,1.000,17.38,6.17227,147.934,74.60,6.17,25.40,6.17
8h 4d 2h,QsJs,1.000,19.39,5.53952,119.043,62.29,5.55,37.71,5.53
8h 4d 2h,KsJc,1.000,24.84,5.78678,97.0504,29.65,5.77,70.35,5.79
8h 4d 2h,KsQc,1.000,30.08,6.27283,86.8985,9.12,6.22,90.88,6.28
8h 4d 2h,KsKc,1.000,81.91,37.4811,190.661,99.74,37.48,0.26,36.19
8h 4d 2h,KsJd,1.000,25.53,6.26114,102.191,81.99,6.26,18.01,6.25
8h 4d 2h,KsQd,1.000,30.50,6.75659,92.3034,46.54,6.75,53.46,6.76
8h 4d 2h,KsKd,1.000,82.18,37.3038,189.129,99.71,37.31,0.29,36.10
8h 4d 2h,KsJh,1.000,29.52,8.21722,115.99,77.86,8.22,22.14,8.21
8h 4d 2h,KsQh,1.000,34.52,8.80119,106.221,67.06,8.80,32.94,8.80
8h 4d 2h,KsKh,1.000,84.93,38.3806,188.296,99.52,38.38,0.48,37.80
8h 4d 2h,Ks9s,1.000,23.19,6.85465,123.17,98.32,6.86,1.68,6.65
8h 4d 2h,KsTs,1.000,22.69,6.39361,117.428,93.74,6.40,6.26,6.37
8h 4d 2h,KsJs,1.000,24.99,5.87743,97.9874,44.86,5.88,55.14,5.88
8h 4d 2h,KsQs,1.000,30.19,6.32535,87.2915,17.54,6.32,82.46,6.33
8h 4d 2h,AsTc,1.000,37.47,6.58569,73.2419,4.63,6.43,95.37,6.59
8h 4d 2h,AsJc,1.000,46.59,8.31057,74.3239,0.48,7.40,99.52,8.31
8h 4d 2h,AsQc,1.000,56.07,10.7584,79.9505,0.61,10.18,99.39,10.76
8h 4d 2h,AsKc,1.000,62.10,12.9449,86.8483,15.17,12.94,84.83,12.94
8h 4d 2h,AsAc,1.000,89.57,46.0236,214.106,99.86,46.03,0.14,43.31
8h 4d 2h,AsTd,1.000,38.06,6.82066,74.6777,53.90,6.83,46.10,6.81
8h 4d 2h,AsJd,1.000,47.24,8.57283,75.6102,0.58,7.80,99.42,8.58
8h 4d 2h,AsQd,1.000,56.47,10.942,80.7398,0.73,10.44,99.27,10.95
8h 4d 2h,AsKd,1.000,62.50,13.1272,87.5164,6.89,13.09,93.11,13.13
8h 4d 2h,AsAd,1.000,89.84,45.2009,209.633,99.82,45.20,0.18,43.11
8h 4d 2h,AsTh,1.000,41.05,8.20013,83.2423,90.75,8.20,9.25,8.20
8h 4d 2h,AsJh,1.000,50.78,10.0631,82.5634,0.81,9.51,99.19,10.07
8h 4d 2h,AsQh,1.000,59.83,12.6274,87.9464,9.35,12.63,90.65,12.63
8h 4d 2h,AsKh,1.000,65.83,15.3122,96.9205,67.54,15.31,32.46,15.31
8h 4d 2h,AsAh,1.000,93.30,45.5489,203.412,99.56,45.55,0.44,44.74
