Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Jh 9d 2h,8s8c,0.990,50.04,0.01043,0.34738,0.22,1.28,1.67,0.46,98.12,0.00
Jh 9d 2h,8s8d,0.988,50.09,0.01332,0.44331,0.24,1.35,2.17,0.47,97.60,0.00
Jh 9d 2h,8s8h,0.988,52.22,0.96346,30.75,0.16,1.64,99.36,0.97,0.48,0.00
Jh 9d 2h,8s7s,0.891,25.30,0.01042,0.68618,0.60,1.71,0.08,0.24,99.32,0.00
Jh 9d 2h,9s9c,0.594,89.15,16.1882,302.648,98.25,16.19,1.75,16.03,0.00,0.00
Jh 9d 2h,9s9h,0.279,89.77,16.4507,305.426,99.62,16.45,0.38,16.10,0.00,0.00
Jh 9d 2h,9s8s,0.474,55.40,2.78392,83.7552,96.52,2.81,3.39,2.18,0.09,0.00
Jh 9d 2h,TsTc,0.976,56.96,1.43154,41.8839,0.09,1.86,99.64,1.43,0.27,0.00
Jh 9d 2h,TsTd,0.977,57.09,1.49406,43.6139,0.09,1.87,99.67,1.50,0.25,0.00
Jh 9d 2h,TsTh,0.921,59.38,2.26056,63.453,0.07,2.59,99.79,2.26,0.14,0.00
Jh 9d 2h,Ts8s,0.478,36.90,3.41375,154.193,65.42,3.88,34.54,2.53,0.04,0.00
Jh 9d 2h,Ts9s,0.785,58.75,2.41692,68.5708,8.36,2.77,91.54,2.39,0.10,0.00
Jh 9d 2h,JsTc,0.757,63.32,3.38379,89.067,7.02,3.43,92.91,3.38,0.08,0.00
Jh 9d 2h,JsJc,0.608,91.17,16.3968,299.755,99.12,16.39,0.88,17.55,0.00,0.00
Jh 9d 2h,JsTd,0.764,63.47,3.38152,88.7962,15.72,3.54,84.21,3.36,0.07,0.00
Jh 9d 2h,JsJd,0.628,91.30,17.0688,311.603,99.59,17.07,0.41,17.84,0.00,0.00
Jh 9d 2h,JsTh,0.710,65.89,4.44344,112.392,28.57,4.78,71.38,4.31,0.05,0.00
Jh 9d 2h,Js8s,0.796,62.03,3.39422,91.1989,34.17,3.39,65.76,3.40,0.07,0.00
Jh 9d 2h,Js9s,0.596,83.31,11.9348,238.758,99.19,11.94,0.80,11.82,0.01,0.00
Jh 9d 2h,JsTs,0.644,63.20,3.4232,90.2755,1.95,3.39,97.98,3.43,0.08,0.00
Jh 9d 2h,QsTc,0.561,38.51,2.46049,106.482,19.54,3.27,80.41,2.27,0.05,0.00
Jh 9d 2h,QsJc,0.832,67.62,4.39158,108.239,0.18,4.38,99.78,4.39,0.04,0.00
Jh 9d 2h,QsQc,0.436,74.59,7.44043,166.259,37.36,7.97,62.63,7.13,0.02,0.00
Jh 9d 2h,QsTd,0.627,38.60,2.41695,104.348,10.36,3.34,89.59,2.31,0.05,0.00
Jh 9d 2h,QsJd,0.870,67.74,4.49975,110.709,0.19,4.44,99.77,4.50,0.04,0.00
Jh 9d 2h,QsQd,0.446,74.77,7.44885,166.048,22.56,8.20,77.42,7.23,0.02,0.00
Jh 9d 2h,QsTh,0.495,41.17,4.114,166.558,70.84,4.40,29.12,3.43,0.04,0.00
Jh 9d 2h,QsQh,0.283,77.31,9.1872,198.059,91.72,9.28,8.27,8.14,0.01,0.00
Jh 9d 2h,Qs8s,0.539,24.96,0.01239,0.8271,0.65,1.71,0.24,0.51,99.10,0.00
Jh 9d 2h,Qs9s,0.924,58.45,2.50578,71.4505,1.76,3.16,98.16,2.50,0.09,0.00
Jh 9d 2h,QsTs,0.630,38.62,2.61803,112.984,25.83,3.54,74.12,2.30,0.05,0.00
Jh 9d 2h,QsJs,0.815,67.46,4.38862,108.428,0.18,4.32,99.78,4.39,0.04,0.00
Jh 9d 2h,KsTc,0.371,28.42,0.28638,16.7936,1.41,1.57,97.94,0.27,0.65,0.00
Jh 9d 2h,KsJc,0.730,67.16,4.12896,102.47,1.05,3.97,98.90,4.13,0.05,0.00
Jh 9d 2h,KsQc,0.630,33.50,1.14641,57.0305,10.89,2.32,88.94,1.00,0.17,0.00
Jh 9d 2h,KsKc,0.444,77.27,8.71084,187.879,31.56,9.05,68.43,8.56,0.01,0.00
Jh 9d 2h,KsTd,0.414,28.52,0.3686,21.5437,4.71,1.58,94.75,0.31,0.54,0.00
Jh 9d 2h,KsJd,0.770,67.30,4.2924,106.295,0.12,3.94,99.82,4.30,0.05,0.00
Jh 9d 2h,KsQd,0.667,33.62,1.23889,61.4194,21.28,2.25,78.55,0.97,0.16,0.00
Jh 9d 2h,KsKd,0.455,77.45,8.75883,188.474,28.49,9.21,71.50,8.58,0.01,0.00
Jh 9d 2h,KsTh,0.649,31.41,1.34357,71.2829,34.37,2.19,65.47,0.90,0.16,0.00
Jh 9d 2h,KsQh,0.512,36.71,2.48857,112.987,64.56,2.93,35.36,1.68,0.08,0.00
Jh 9d 2h,KsKh,0.385,80.17,10.6204,220.775,90.32,10.72,9.67,9.70,0.01,0.00
Jh 9d 2h,Ks8s,0.997,17.18,0.00047,0.04601,0.08,0.65,0.01,-0.75,99.91,0.00
Jh 9d 2h,Ks9s,0.796,56.91,1.83652,53.7856,0.08,2.69,99.80,1.84,0.12,0.00
Jh 9d 2h,KsTs,0.782,28.62,0.32225,18.7674,0.22,1.63,99.29,0.32,0.49,0.00
