Flop,Turn,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 7%,BET 7 EV,CHECK%,CHECK EV
Ah 8d 2c,3c,6c5c,0.198,30.24,4.75717,131.073,0.72,4.49,99.28,4.76
Ah 8d 2c,3c,7c6c,0.329,24.79,3.87712,130.323,0.40,3.32,99.60,3.88
Ah 8d 2c,3c,8c7c,0.485,59.28,6.37243,89.5775,0.27,5.68,99.73,6.37
Ah 8d 2c,3c,9c8c,0.914,60.38,6.4514,89.0389,0.19,5.50,99.81,6.45
Ah 8d 2c,3c,Tc8c,0.745,61.66,6.63776,89.704,0.18,5.59,99.82,6.64
Ah 8d 2c,3c,Tc9c,0.404,30.44,3.86716,105.881,0.31,3.19,99.69,3.87
Ah 8d 2c,3c,Jc8c,0.768,62.79,6.86992,91.1687,0.18,5.86,99.82,6.87
Ah 8d 2c,3c,Jc9c,0.481,35.25,3.99454,94.4382,0.31,3.32,99.69,4.00
Ah 8d 2c,3c,JcTc,0.492,39.12,4.11,87.5535,0.27,3.32,99.73,4.11
Ah 8d 2c,3c,JcTd,0.028,24.13,2.79507,96.545,0.16,1.63,99.84,2.80
Ah 8d 2c,3c,JcTh,0.049,24.14,2.78456,96.1299,0.16,1.61,99.84,2.79
Ah 8d 2c,3c,JcTs,0.197,24.28,2.86446,98.2959,0.17,1.74,99.83,2.87
Ah 8d 2c,3c,Qc8c,0.872,64.30,7.14599,92.6058,0.21,6.29,99.79,7.15
Ah 8d 2c,3c,Qc9c,0.016,42.30,4.15281,81.8186,0.34,3.57,99.66,4.15
Ah 8d 2c,3c,QcTc,0.387,44.67,4.21163,78.5615,0.29,3.54,99.71,4.21
Ah 8d 2c,3c,QcJc,0.482,46.83,4.27767,76.1252,0.29,3.61,99.71,4.28
Ah 8d 2c,3c,QcTd,0.003,30.59,2.79958,76.271,0.19,1.81,99.81,2.80
Ah 8d 2c,3c,QcJd,0.005,33.31,2.83602,70.9414,0.20,1.92,99.80,2.84
Ah 8d 2c,3c,QcTh,0.003,30.59,2.79157,76.0365,0.19,1.80,99.81,2.79
Ah 8d 2c,3c,QcJh,0.003,33.18,2.75548,69.2091,0.20,1.83,99.80,2.76
Ah 8d 2c,3c,QcTs,0.003,30.93,2.88145,77.6381,0.19,1.92,99.81,2.88
Ah 8d 2c,3c,QcJs,0.013,33.66,2.89688,71.7246,0.21,2.00,99.79,2.90
Ah 8d 2c,3c,Kc4c,0.240,52.73,6.12904,96.8619,0.52,5.65,99.48,6.13
Ah 8d 2c,3c,Kc5c,0.350,52.95,6.03264,94.9439,0.42,5.50,99.58,6.03
Ah 8d 2c,3c,Kc6c,0.002,49.22,4.89995,82.9573,0.22,3.97,99.78,4.90
Ah 8d 2c,3c,Kc7c,0.002,49.32,4.7897,80.9231,0.28,4.04,99.72,4.79
Ah 8d 2c,3c,Kc8c,0.747,65.68,7.59104,96.3164,0.20,6.64,99.80,7.59
Ah 8d 2c,3c,Kc9c,0.350,50.38,4.66441,77.1536,0.23,3.87,99.77,4.67
Ah 8d 2c,3c,KcTc,0.783,51.11,4.74452,77.3589,0.20,3.86,99.80,4.75
Ah 8d 2c,3c,KcJc,0.962,51.33,4.81802,78.2209,0.20,3.91,99.80,4.82
Ah 8d 2c,3c,KcQc,0.976,51.75,4.8673,78.3723,0.20,3.99,99.80,4.87
Ah 8d 2c,3c,KcTd,0.002,38.12,2.95787,64.6621,0.17,1.86,99.83,2.96
Ah 8d 2c,3c,KcJd,0.003,38.38,3.03524,65.9022,0.17,1.97,99.83,3.04
Ah 8d 2c,3c,KcQd,0.005,38.90,3.06507,65.662,0.22,2.27,99.78,3.07
Ah 8d 2c,3c,KcTh,0.002,38.13,2.95297,64.5435,0.17,1.85,99.83,2.95
Ah 8d 2c,3c,KcJh,0.003,38.22,2.93009,63.8903,0.17,1.87,99.83,2.93
Ah 8d 2c,3c,KcQh,0.004,38.86,3.01132,64.5688,0.23,2.27,99.77,3.01
Ah 8d 2c,3c,KcTs,0.002,38.52,3.03691,65.7007,0.17,1.97,99.83,3.04
Ah 8d 2c,3c,KcJs,0.008,38.84,3.04772,65.3966,0.18,2.05,99.82,3.05
Ah 8d 2c,3c,KcQs,0.017,39.25,3.08836,65.5674,0.23,2.35,99.77,3.09
Ah 8d 2c,3c,Ac4c,0.752,77.52,10.3928,111.717,0.73,10.06,99.27,10.40
Ah 8d 2c,3c,Ac5c,0.680,77.64,10.29,110.44,0.69,9.97,99.31,10.29
Ah 8d 2c,3c,Ac6c,0.769,75.71,9.70402,106.813,0.23,8.97,99.77,9.71
Ah 8d 2c,3c,Ac7c,0.545,75.77,9.60797,105.677,0.23,8.90,99.77,9.61
Ah 8d 2c,3c,Ac8c,0.262,94.10,17.4953,154.927,2.12,17.38,97.88,17.50
Ah 8d 2c,3c,Ac9c,0.490,76.44,9.87334,107.641,0.30,9.25,99.70,9.88
Ah 8d 2c,3c,AcTc,0.687,78.59,10.4071,110.349,0.32,9.83,99.68,10.41
Ah 8d 2c,3c,Ac2d,0.600,84.48,12.2493,120.831,0.29,11.60,99.71,12.25
Ah 8d 2c,3c,Ac3d,0.911,85.45,12.8052,124.877,0.27,12.12,99.73,12.81
Ah 8d 2c,3c,Ac4d,0.906,69.79,6.78449,81.0079,0.18,5.73,99.82,6.79
Ah 8d 2c,3c,Ac5d,0.869,69.88,6.70939,80.0142,0.19,5.74,99.81,6.71
Ah 8d 2c,3c,Ac6d,0.898,67.31,5.95901,73.7719,0.15,4.72,99.85,5.96
Ah 8d 2c,3c,Ac7d,0.851,67.41,5.99651,74.1332,0.14,4.71,99.86,6.00
Ah 8d 2c,3c,Ac9d,0.612,67.89,6.23555,76.5401,0.13,4.80,99.87,6.24
Ah 8d 2c,3c,AcTd,0.692,70.75,6.93101,81.6372,0.13,5.49,99.87,6.93
Ah 8d 2c,3c,AcJd,0.725,74.05,7.97997,89.8038,0.13,6.52,99.87,7.98
Ah 8d 2c,3c,Ac2h,0.596,84.49,12.2521,120.846,0.29,11.60,99.71,12.25
Ah 8d 2c,3c,Ac3h,0.913,85.48,12.8167,124.948,0.27,12.14,99.73,12.82
Ah 8d 2c,3c,Ac4h,0.904,69.79,6.78982,81.0796,0.18,5.72,99.82,6.79
Ah 8d 2c,3c,Ac5h,0.845,69.87,6.70901,80.0165,0.19,5.73,99.81,6.71
Ah 8d 2c,3c,Ac6h,0.883,67.21,5.9331,73.5599,0.15,4.70,99.85,5.93
Ah 8d 2c,3c,Ac7h,0.792,67.27,5.96349,73.8718,0.14,4.68,99.86,5.97
Ah 8d 2c,3c,Ac8h,0.415,90.41,15.4183,142.116,0.91,15.18,99.09,15.42
Ah 8d 2c,3c,Ac9h,0.541,67.74,6.221,76.5341,0.13,4.76,99.87,6.22
Ah 8d 2c,3c,AcTh,0.673,70.71,6.92253,81.5809,0.13,5.48,99.87,6.92
Ah 8d 2c,3c,AcJh,0.668,73.86,7.97231,89.9471,0.13,6.48,99.87,7.97
Ah 8d 2c,3c,Ac2s,0.658,84.48,12.2625,120.954,0.29,11.59,99.71,12.26
Ah 8d 2c,3c,Ac3s,0.815,85.52,12.877,125.482,0.25,12.13,99.75,12.88
Ah 8d 2c,3c,Ac4s,0.795,69.91,6.82745,81.3893,0.18,5.77,99.82,6.83
Ah 8d 2c,3c,Ac5s,0.806,70.11,6.76471,80.4044,0.19,5.79,99.81,6.77
Ah 8d 2c,3c,Ac6s,0.838,67.44,5.97787,73.8644,0.15,4.75,99.85,5.98
Ah 8d 2c,3c,Ac7s,0.712,67.78,6.07062,74.6409,0.14,4.79,99.86,6.07
Ah 8d 2c,3c,Ac8s,0.406,90.55,15.3915,141.652,0.97,15.17,99.03,15.39
Ah 8d 2c,3c,Ac9s,0.594,68.93,6.41173,77.5125,0.13,5.03,99.87,6.41
Ah 8d 2c,3c,AcTs,0.718,71.08,6.98974,81.9419,0.13,5.57,99.87,6.99
Ah 8d 2c,3c,AcJs,0.711,74.39,8.06954,90.4018,0.13,6.61,99.87,8.07
Ah 8d 2c,3c,6d6c,0.708,41.09,3.07149,62.2971,0.27,2.37,99.73,3.07
Ah 8d 2c,3c,6d5d,0.137,14.48,3.19264,183.695,0.40,2.65,99.60,3.19
Ah 8d 2c,3c,7d7c,0.658,40.55,3.06256,62.9343,0.23,2.27,99.77,3.06
Ah 8d 2c,3c,7d6d,0.249,7.18,2.54299,295.344,0.19,1.51,99.81,2.54
Ah 8d 2c,3c,9d9c,0.687,51.81,4.11616,66.2002,0.10,2.45,99.90,4.12
Ah 8d 2c,3c,TdTc,0.827,54.55,4.38395,66.9707,0.10,2.66,99.90,4.39
Ah 8d 2c,3c,Td9d,0.375,13.18,2.28804,144.621,0.13,0.84,99.87,2.29
Ah 8d 2c,3c,JdTc,0.022,24.16,2.72952,94.1399,0.17,1.57,99.83,2.73
Ah 8d 2c,3c,Jd9d,0.476,18.82,2.31348,102.419,0.13,0.93,99.87,2.32
Ah 8d 2c,3c,JdTd,0.426,23.72,2.46955,86.7613,0.14,1.09,99.86,2.47
Ah 8d 2c,3c,JdTh,0.064,23.66,2.45021,86.2904,0.14,1.05,99.86,2.45
Ah 8d 2c,3c,JdTs,0.245,23.81,2.53626,88.756,0.14,1.18,99.86,2.54
Ah 8d 2c,3c,QdTc,0.003,30.81,2.87563,77.7681,0.18,1.84,99.82,2.88
Ah 8d 2c,3c,QdJc,0.004,33.42,2.95629,73.7049,0.20,2.01,99.80,2.96
Ah 8d 2c,3c,Qd9d,0.125,27.24,2.48001,75.8651,0.15,1.26,99.85,2.48
Ah 8d 2c,3c,QdTd,0.403,30.26,2.61004,71.874,0.15,1.38,99.85,2.61
Ah 8d 2c,3c,QdJd,0.528,32.88,2.63961,66.9011,0.16,1.49,99.84,2.64
Ah 8d 2c,3c,QdTh,0.003,30.21,2.5774,71.1042,0.15,1.34,99.85,2.58
Ah 8d 2c,3c,QdJh,0.004,32.68,2.54538,64.9134,0.16,1.35,99.84,2.55
Ah 8d 2c,3c,QdTs,0.003,30.55,2.67745,73.0429,0.15,1.47,99.85,2.68
Ah 8d 2c,3c,QdJs,0.012,33.17,2.69179,67.6299,0.17,1.56,99.83,2.69
Ah 8d 2c,3c,KdTc,0.002,38.45,3.06206,66.3604,0.15,1.85,99.85,3.06
Ah 8d 2c,3c,KdJc,0.003,38.71,3.15003,67.8157,0.16,2.02,99.84,3.15
Ah 8d 2c,3c,KdQc,0.004,39.14,3.07643,65.5085,0.20,2.19,99.80,3.08
Ah 8d 2c,3c,Kd2d,0.368,42.08,3.32025,65.7502,0.37,2.79,99.63,3.32
Ah 8d 2c,3c,Kd3d,0.224,41.84,3.27575,65.2359,0.31,2.67,99.69,3.28
Ah 8d 2c,3c,Kd4d,0.226,40.74,3.35737,68.6681,0.33,2.71,99.67,3.36
Ah 8d 2c,3c,Kd5d,0.296,40.89,3.36349,68.5469,0.27,2.61,99.73,3.37
Ah 8d 2c,3c,Kd6d,0.002,35.86,2.81232,65.357,0.16,1.65,99.84,2.81
Ah 8d 2c,3c,Kd7d,0.003,35.94,2.7815,64.5029,0.15,1.55,99.85,2.78
Ah 8d 2c,3c,Kd9d,0.428,36.85,2.69447,60.9317,0.12,1.23,99.88,2.70
Ah 8d 2c,3c,KdTd,0.854,37.78,2.7706,61.1151,0.13,1.38,99.87,2.77
Ah 8d 2c,3c,KdJd,0.971,38.04,2.88519,63.2079,0.13,1.45,99.87,2.89
Ah 8d 2c,3c,KdQd,0.981,38.57,2.89811,62.6218,0.15,1.70,99.85,2.90
Ah 8d 2c,3c,KdTh,0.002,37.78,2.76782,61.0442,0.13,1.37,99.87,2.77
Ah 8d 2c,3c,KdJh,0.003,37.87,2.78265,61.23,0.13,1.36,99.87,2.78
Ah 8d 2c,3c,KdQh,0.004,38.53,2.83512,61.3177,0.16,1.70,99.84,2.84
Ah 8d 2c,3c,KdTs,0.002,38.19,2.8581,62.3727,0.14,1.50,99.86,2.86
Ah 8d 2c,3c,KdJs,0.003,38.50,2.89937,62.7524,0.14,1.56,99.86,2.90
Ah 8d 2c,3c,KdQs,0.009,38.93,2.92361,62.5906,0.16,1.80,99.84,2.93
Ah 8d 2c,3c,Ad4c,0.905,69.76,6.7606,80.756,0.16,5.58,99.84,6.76
Ah 8d 2c,3c,Ad5c,0.866,69.99,6.72511,80.0707,0.16,5.59,99.84,6.73
Ah 8d 2c,3c,Ad6c,0.896,67.52,6.05458,74.7288,0.14,4.69,99.86,6.06
Ah 8d 2c,3c,Ad7c,0.832,67.90,6.14453,75.417,0.14,4.85,99.86,6.15
Ah 8d 2c,3c,Ad8c,0.419,90.55,15.2457,140.311,0.59,14.90,99.41,15.25
Ah 8d 2c,3c,Ad9c,0.610,68.65,6.37476,77.3879,0.13,4.99,99.87,6.38
Ah 8d 2c,3c,AdTc,0.680,71.15,6.96265,81.5537,0.12,5.51,99.88,6.96
Ah 8d 2c,3c,AdJc,0.697,74.42,7.95416,89.0709,0.13,6.51,99.87,7.96
Ah 8d 2c,3c,Ad2d,0.398,84.07,12.0834,119.779,0.29,11.43,99.71,12.09
Ah 8d 2c,3c,Ad3d,0.742,85.06,12.6407,123.841,0.26,11.95,99.74,12.64
Ah 8d 2c,3c,Ad4d,0.736,69.41,6.66749,80.0513,0.16,5.48,99.84,6.67
Ah 8d 2c,3c,Ad5d,0.651,69.49,6.59586,79.1001,0.17,5.50,99.83,6.60
Ah 8d 2c,3c,Ad6d,0.756,67.00,5.8532,72.799,0.14,4.53,99.86,5.86
Ah 8d 2c,3c,Ad7d,0.516,67.08,5.88722,73.1417,0.13,4.49,99.87,5.89
Ah 8d 2c,3c,Ad9d,0.491,67.48,6.11774,75.5516,0.12,4.56,99.88,6.12
Ah 8d 2c,3c,AdTd,0.693,70.31,6.7857,80.4238,0.12,5.22,99.88,6.79
Ah 8d 2c,3c,Ad2h,0.659,84.08,12.0836,119.756,0.28,11.42,99.72,12.09
Ah 8d 2c,3c,Ad3h,0.914,85.09,12.6501,123.892,0.27,11.96,99.73,12.65
Ah 8d 2c,3c,Ad4h,0.909,69.40,6.66529,80.0332,0.16,5.47,99.84,6.67
Ah 8d 2c,3c,Ad5h,0.855,69.48,6.59557,79.1037,0.17,5.49,99.83,6.60
Ah 8d 2c,3c,Ad6h,0.884,66.89,5.82729,72.6023,0.14,4.50,99.86,5.83
Ah 8d 2c,3c,Ad7h,0.806,66.94,5.85028,72.8283,0.13,4.47,99.87,5.85
Ah 8d 2c,3c,Ad8h,0.352,89.93,15.2109,140.955,1.06,15.02,98.94,15.21
Ah 8d 2c,3c,Ad9h,0.543,67.34,6.10144,75.5045,0.11,4.51,99.89,6.10
Ah 8d 2c,3c,AdTh,0.684,70.27,6.77957,80.3966,0.12,5.21,99.88,6.78
Ah 8d 2c,3c,AdJh,0.674,73.34,7.81102,88.7485,0.12,6.29,99.88,7.81
Ah 8d 2c,3c,Ad2s,0.706,84.08,12.0925,119.848,0.28,11.42,99.72,12.09
Ah 8d 2c,3c,Ad3s,0.828,85.13,12.7048,124.373,0.25,11.95,99.75,12.71
Ah 8d 2c,3c,Ad4s,0.821,69.52,6.70416,80.3592,0.16,5.51,99.84,6.71
Ah 8d 2c,3c,Ad5s,0.814,69.72,6.64676,79.4403,0.17,5.56,99.83,6.65
Ah 8d 2c,3c,Ad6s,0.841,67.12,5.87384,72.9284,0.14,4.55,99.86,5.88
Ah 8d 2c,3c,Ad7s,0.730,67.45,5.96142,73.6542,0.13,4.58,99.87,5.96
Ah 8d 2c,3c,Ad8s,0.346,90.08,15.1844,140.474,1.15,15.01,98.85,15.19
Ah 8d 2c,3c,Ad9s,0.590,68.55,6.29816,76.5635,0.12,4.79,99.88,6.30
Ah 8d 2c,3c,AdTs,0.727,70.65,6.84868,80.7796,0.12,5.31,99.88,6.85
Ah 8d 2c,3c,AdJs,0.708,73.88,7.921,89.3441,0.13,6.42,99.87,7.92
Ah 8d 2c,3c,6h6c,0.715,41.22,3.06704,62.0071,0.26,2.33,99.74,3.07
Ah 8d 2c,3c,6h6d,0.756,40.58,2.97582,61.1107,0.21,2.09,99.79,2.98
Ah 8d 2c,3c,6h5h,0.182,14.51,3.16937,182.073,0.39,2.62,99.61,3.17
Ah 8d 2c,3c,7h7c,0.535,40.72,3.05814,62.5807,0.22,2.23,99.78,3.06
Ah 8d 2c,3c,7h7d,0.625,39.78,2.86434,60.0051,0.17,1.79,99.83,2.87
Ah 8d 2c,3c,7h6h,0.305,7.29,2.53937,290.29,0.17,1.42,99.83,2.54
Ah 8d 2c,3c,8h8c,0.020,95.86,23.9466,208.175,11.14,23.93,88.86,23.95
Ah 8d 2c,3c,8h7h,0.467,47.56,3.43447,60.1776,0.24,2.63,99.76,3.44
Ah 8d 2c,3c,9h9c,0.608,51.59,4.06886,65.7274,0.10,2.39,99.90,4.07
Ah 8d 2c,3c,9h9d,0.704,50.50,3.71558,61.3126,0.09,1.76,99.91,3.72
Ah 8d 2c,3c,9h8h,0.887,48.49,3.34388,57.4687,0.16,2.19,99.84,3.35
Ah 8d 2c,3c,ThTc,0.837,54.50,4.3728,66.8646,0.10,2.65,99.90,4.37
Ah 8d 2c,3c,ThTd,0.862,53.76,4.10511,63.6351,0.09,2.20,99.91,4.11
Ah 8d 2c,3c,Th8h,0.703,50.45,3.61121,59.6535,0.16,2.41,99.84,3.61
Ah 8d 2c,3c,Th9h,0.338,13.21,2.23269,140.884,0.13,0.75,99.87,2.23
Ah 8d 2c,3c,JhTc,0.078,24.07,2.65031,91.7556,0.16,1.48,99.84,2.65
Ah 8d 2c,3c,JhTd,0.120,23.56,2.37682,84.0729,0.13,0.97,99.87,2.38
Ah 8d 2c,3c,Jh8h,0.746,51.48,3.79698,61.4638,0.14,2.47,99.86,3.80
Ah 8d 2c,3c,Jh9h,0.432,18.76,2.18798,97.1885,0.13,0.76,99.87,2.19
Ah 8d 2c,3c,JhTh,0.409,23.64,2.38162,83.9706,0.14,0.99,99.86,2.38
Ah 8d 2c,3c,JhTs,0.339,23.72,2.45543,86.2501,0.14,1.10,99.86,2.46
Ah 8d 2c,3c,QhTc,0.003,30.77,2.85464,77.3063,0.19,1.84,99.81,2.86
Ah 8d 2c,3c,QhJc,0.003,33.38,2.92886,73.123,0.20,2.01,99.80,2.93
Ah 8d 2c,3c,QhTd,0.003,30.16,2.56526,70.8814,0.15,1.35,99.85,2.57
Ah 8d 2c,3c,QhJd,0.004,32.77,2.59469,65.9858,0.16,1.45,99.84,2.60
Ah 8d 2c,3c,Qh8h,0.834,53.26,4.00674,62.6973,0.16,2.88,99.84,4.01
Ah 8d 2c,3c,Qh9h,0.078,27.12,2.40829,73.9979,0.15,1.18,99.85,2.41
Ah 8d 2c,3c,QhTh,0.384,30.23,2.58074,71.1511,0.15,1.37,99.85,2.58
Ah 8d 2c,3c,QhJh,0.513,32.69,2.54203,64.7929,0.16,1.40,99.84,2.54
Ah 8d 2c,3c,QhTs,0.003,30.51,2.65533,72.5362,0.16,1.47,99.84,2.66
Ah 8d 2c,3c,QhJs,0.008,33.12,2.66172,66.969,0.17,1.56,99.83,2.66
Ah 8d 2c,3c,KhTc,0.002,38.23,3.00933,65.5996,0.15,1.76,99.85,3.01
Ah 8d 2c,3c,KhJc,0.003,38.48,3.09819,67.0945,0.16,1.94,99.84,3.10
Ah 8d 2c,3c,KhQc,0.004,38.91,3.02556,64.7957,0.19,2.11,99.81,3.03
Ah 8d 2c,3c,KhTd,0.002,37.55,2.72034,60.3681,0.13,1.29,99.87,2.72
Ah 8d 2c,3c,KhJd,0.003,37.81,2.83949,62.585,0.12,1.35,99.88,2.84
Ah 8d 2c,3c,KhQd,0.004,38.34,2.85217,61.9913,0.15,1.61,99.85,2.85
Ah 8d 2c,3c,Kh2h,0.372,41.90,3.27518,65.1343,0.35,2.72,99.65,3.28
Ah 8d 2c,3c,Kh3h,0.392,41.68,3.22424,64.4717,0.30,2.58,99.70,3.23
Ah 8d 2c,3c,Kh4h,0.326,40.83,3.30958,67.551,0.31,2.63,99.69,3.31
Ah 8d 2c,3c,Kh5h,0.361,41.01,3.31145,67.2967,0.26,2.53,99.74,3.31
Ah 8d 2c,3c,Kh6h,0.009,36.05,2.76081,63.8134,0.15,1.52,99.85,2.76
Ah 8d 2c,3c,Kh7h,0.006,36.10,2.74848,63.4424,0.14,1.42,99.86,2.75
Ah 8d 2c,3c,Kh8h,0.632,54.29,4.20295,64.5103,0.15,3.02,99.85,4.20
Ah 8d 2c,3c,Kh9h,0.529,36.55,2.61115,59.5386,0.12,1.07,99.88,2.61
Ah 8d 2c,3c,KhTh,0.790,37.56,2.71469,60.2323,0.13,1.27,99.87,2.72
Ah 8d 2c,3c,KhJh,0.960,37.64,2.72794,60.3961,0.13,1.27,99.87,2.73
Ah 8d 2c,3c,KhQh,0.976,38.30,2.78101,60.5016,0.15,1.60,99.85,2.78
Ah 8d 2c,3c,KhTs,0.002,37.96,2.80489,61.5693,0.13,1.41,99.87,2.81
Ah 8d 2c,3c,KhJs,0.003,38.28,2.85023,62.0519,0.13,1.47,99.87,2.85
Ah 8d 2c,3c,KhQs,0.004,38.70,2.8749,61.9007,0.15,1.70,99.85,2.88
Ah 8d 2c,3c,6s6c,0.811,41.47,3.10816,62.4551,0.28,2.41,99.72,3.11
Ah 8d 2c,3c,6s6d,0.826,40.83,3.01657,61.5602,0.22,2.17,99.78,3.02
Ah 8d 2c,3c,6s6h,0.841,40.97,3.014,61.3109,0.21,2.13,99.79,3.02
Ah 8d 2c,3c,6s5s,0.001,14.55,3.3284,190.637,0.41,2.82,99.59,3.33
Ah 8d 2c,3c,7s7c,0.804,41.34,3.13886,63.2689,0.24,2.37,99.76,3.14
Ah 8d 2c,3c,7s7d,0.820,40.41,2.9444,60.719,0.18,1.93,99.82,2.95
Ah 8d 2c,3c,7s7h,0.800,40.58,2.94267,60.4331,0.17,1.90,99.83,2.94
Ah 8d 2c,3c,7s6s,0.001,7.28,2.70702,309.696,0.18,1.67,99.82,2.71
Ah 8d 2c,3c,8s8c,0.017,95.92,23.8191,206.938,14.36,23.80,85.64,23.82
Ah 8d 2c,3c,8s8h,0.018,95.25,24.0174,210.129,30.95,24.01,69.05,24.02
Ah 8d 2c,3c,8s7s,0.501,47.86,3.50411,61.0129,0.29,2.86,99.71,3.51
Ah 8d 2c,3c,9s9c,0.711,53.24,4.33816,67.907,0.11,2.74,99.89,4.34
Ah 8d 2c,3c,9s9d,0.749,52.19,3.99948,63.8628,0.09,2.16,99.91,4.00
Ah 8d 2c,3c,9s9h,0.713,51.97,3.95213,63.3751,0.09,2.09,99.91,3.95
Ah 8d 2c,3c,9s8s,0.954,49.83,3.61827,60.5069,0.19,2.64,99.81,3.62
Ah 8d 2c,3c,TsTc,0.766,54.98,4.46687,67.7038,0.11,2.77,99.89,4.47
Ah 8d 2c,3c,TsTd,0.812,54.25,4.19994,64.5148,0.09,2.32,99.91,4.20
Ah 8d 2c,3c,TsTh,0.815,54.20,4.18861,64.4029,0.09,2.31,99.91,4.19
Ah 8d 2c,3c,Ts8s,0.845,50.68,3.69091,60.689,0.17,2.60,99.83,3.69
Ah 8d 2c,3c,Ts9s,0.541,13.79,2.66515,161.018,0.14,1.29,99.86,2.67
Ah 8d 2c,3c,JsTc,0.168,24.30,2.7913,95.7094,0.17,1.66,99.83,2.79
Ah 8d 2c,3c,JsTd,0.192,23.80,2.52636,88.45,0.14,1.18,99.86,2.53
Ah 8d 2c,3c,JsTh,0.256,23.81,2.51689,88.0914,0.14,1.16,99.86,2.52
Ah 8d 2c,3c,Js8s,0.843,52.21,3.95243,63.0794,0.15,2.71,99.85,3.95
Ah 8d 2c,3c,Js9s,0.090,19.89,2.72304,114.116,0.15,1.39,99.85,2.72
Ah 8d 2c,3c,JsTs,0.340,23.95,2.5953,90.3207,0.15,1.29,99.85,2.60
Ah 8d 2c,3c,QsTc,0.003,31.03,2.9429,79.033,0.19,1.95,99.81,2.94
Ah 8d 2c,3c,QsJc,0.016,33.77,3.02078,74.5479,0.20,2.09,99.80,3.02
Ah 8d 2c,3c,QsTd,0.003,30.43,2.6601,72.855,0.16,1.47,99.84,2.66
Ah 8d 2c,3c,QsJd,0.019,33.17,2.69533,67.7197,0.16,1.56,99.84,2.70
Ah 8d 2c,3c,QsTh,0.003,30.43,2.65134,72.6021,0.16,1.46,99.84,2.65
Ah 8d 2c,3c,QsJh,0.100,33.03,2.61767,66.0329,0.16,1.48,99.84,2.62
Ah 8d 2c,3c,Qs8s,0.923,53.95,4.16092,64.2739,0.16,3.06,99.84,4.16
Ah 8d 2c,3c,Qs9s,0.000,28.45,2.84811,83.4178,0.16,1.66,99.84,2.85
Ah 8d 2c,3c,QsTs,0.144,30.75,2.73981,74.2538,0.16,1.57,99.84,2.74
Ah 8d 2c,3c,QsJs,0.533,33.49,2.74694,68.3571,0.17,1.65,99.83,2.75
Ah 8d 2c,3c,KsTc,0.003,39.13,3.17909,67.7,0.17,2.12,99.83,3.18
Ah 8d 2c,3c,KsJc,0.004,39.39,3.24707,68.6891,0.19,2.29,99.81,3.25
Ah 8d 2c,3c,KsQc,0.011,39.80,3.17182,66.4061,0.24,2.45,99.76,3.17
Ah 8d 2c,3c,KsTd,0.003,38.47,2.89428,62.6926,0.15,1.66,99.85,2.90
Ah 8d 2c,3c,KsJd,0.129,38.74,2.97549,64.0088,0.15,1.73,99.85,2.98
Ah 8d 2c,3c,KsQd,0.028,39.25,2.99887,63.6755,0.18,1.98,99.82,3.00
Ah 8d 2c,3c,KsTh,0.003,38.48,2.88734,62.5305,0.15,1.65,99.85,2.89
Ah 8d 2c,3c,KsJh,0.048,38.58,2.86931,61.978,0.15,1.65,99.85,2.87
Ah 8d 2c,3c,KsQh,0.007,39.21,2.94134,62.5089,0.18,1.98,99.82,2.94
Ah 8d 2c,3c,Ks2s,0.640,42.66,3.42519,66.9127,0.43,2.96,99.57,3.43
Ah 8d 2c,3c,Ks3s,0.000,42.63,3.38545,66.1758,0.39,2.90,99.61,3.39
Ah 8d 2c,3c,Ks4s,0.001,40.37,3.46735,71.5806,0.41,2.95,99.59,3.47
Ah 8d 2c,3c,Ks5s,0.000,40.91,3.51034,71.5066,0.35,2.91,99.65,3.51
Ah 8d 2c,3c,Ks6s,0.000,36.17,2.97356,68.5033,0.19,1.96,99.81,2.98
Ah 8d 2c,3c,Ks7s,0.000,36.68,2.97989,67.6959,0.17,1.90,99.83,2.98
Ah 8d 2c,3c,Ks8s,0.801,55.90,4.44335,66.2343,0.17,3.40,99.83,4.45
Ah 8d 2c,3c,Ks9s,0.004,38.81,3.11889,66.9624,0.14,1.83,99.86,3.12
Ah 8d 2c,3c,KsTs,0.166,38.86,2.9745,63.782,0.15,1.77,99.85,2.98
Ah 8d 2c,3c,KsJs,0.577,39.18,2.98099,63.3979,0.16,1.83,99.84,2.98
Ah 8d 2c,3c,KsQs,0.459,39.59,3.01925,63.5509,0.18,2.06,99.82,3.02
Ah 8d 2c,3c,As4c,0.893,69.78,6.76275,80.7592,0.16,5.58,99.84,6.76
Ah 8d 2c,3c,As5c,0.856,70.01,6.72688,80.074,0.16,5.60,99.84,6.73
Ah 8d 2c,3c,As6c,0.883,67.52,6.05477,74.7232,0.14,4.69,99.86,6.06
Ah 8d 2c,3c,As7c,0.781,67.89,6.14221,75.3993,0.14,4.84,99.86,6.14
Ah 8d 2c,3c,As8c,0.418,90.56,15.2468,140.3,0.60,14.90,99.40,15.25
Ah 8d 2c,3c,As9c,0.587,68.62,6.369,77.3513,0.13,4.98,99.87,6.37
Ah 8d 2c,3c,AsTc,0.674,71.12,6.95461,81.4948,0.12,5.50,99.88,6.96
Ah 8d 2c,3c,AsJc,0.698,74.40,7.95288,89.0722,0.13,6.52,99.87,7.95
