Flop,Turn,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 7%,BET 7 EV,BET 3%,BET 3 EV,CHECK%,CHECK EV
Ah 8d 2c,Qc,QdTd,0.430,59.70,2.69419,75.2089,0.43,2.55,0.50,2.69,99.07,2.69
Ah 8d 2c,Qc,QdJd,0.537,60.99,2.83068,77.3537,0.32,2.56,11.49,2.83,88.20,2.83
Ah 8d 2c,Qc,QdTh,0.792,59.71,2.69203,75.1468,0.44,2.55,0.68,2.69,98.88,2.69
Ah 8d 2c,Qc,QdJh,0.760,61.05,2.83768,77.4674,0.32,2.57,13.20,2.84,86.48,2.84
Ah 8d 2c,Qc,QdTs,0.771,59.59,2.67476,74.8061,0.44,2.54,0.97,2.67,98.59,2.68
Ah 8d 2c,Qc,QdJs,0.820,60.85,2.81187,77.0127,0.32,2.54,19.21,2.81,80.47,2.81
Ah 8d 2c,Qc,KdTc,0.977,29.08,0.99304,56.9101,21.18,0.99,44.50,0.99,34.32,0.99
Ah 8d 2c,Qc,KdJc,0.988,32.29,1.10275,56.9261,13.72,1.10,38.25,1.10,48.03,1.10
Ah 8d 2c,Qc,Kd2d,0.527,31.33,1.17616,62.5694,60.46,1.18,37.36,1.18,2.18,1.09
Ah 8d 2c,Qc,Kd3d,0.381,14.37,0.51782,60.0669,0.34,0.25,0.51,0.46,99.15,0.52
Ah 8d 2c,Qc,Kd4d,0.330,14.47,0.52137,60.0711,0.33,0.25,0.50,0.46,99.16,0.52
Ah 8d 2c,Qc,Kd5d,0.337,14.49,0.5161,59.345,0.29,0.21,0.42,0.42,99.29,0.52
Ah 8d 2c,Qc,Kd6d,0.619,14.77,0.47447,53.5225,0.24,0.08,0.34,0.36,99.42,0.48
Ah 8d 2c,Qc,Kd7d,0.820,15.18,0.44072,48.3751,0.26,0.07,0.35,0.36,99.39,0.44
Ah 8d 2c,Qc,Kd9d,0.954,19.31,0.50655,43.7211,0.18,-0.03,0.27,0.38,99.54,0.51
Ah 8d 2c,Qc,KdTd,0.861,28.91,0.94953,54.7357,10.90,0.95,37.66,0.95,51.44,0.95
Ah 8d 2c,Qc,KdJd,0.977,32.11,1.0742,55.7609,6.32,1.07,22.08,1.08,71.60,1.07
Ah 8d 2c,Qc,KdQd,0.987,63.73,3.11301,81.4139,0.16,2.41,0.14,3.06,99.69,3.11
Ah 8d 2c,Qc,KdTh,0.976,28.91,0.94877,54.6901,11.97,0.95,38.89,0.95,49.14,0.95
Ah 8d 2c,Qc,KdJh,0.986,32.17,1.07771,55.8336,8.30,1.08,26.84,1.08,64.86,1.08
Ah 8d 2c,Qc,KdQh,0.992,63.74,3.1146,81.4429,0.16,2.38,0.14,3.04,99.70,3.12
Ah 8d 2c,Qc,KdTs,0.980,28.78,0.93274,54.0134,12.59,0.93,32.85,0.93,54.56,0.93
Ah 8d 2c,Qc,KdJs,0.988,32.00,1.06766,55.616,5.41,1.06,16.80,1.07,77.79,1.07
Ah 8d 2c,Qc,KdQs,0.992,63.69,3.10178,81.1669,0.16,2.35,0.14,3.03,99.71,3.10
Ah 8d 2c,Qc,Ad3c,0.911,78.08,4.86736,103.891,0.38,4.64,1.73,4.85,97.90,4.87
Ah 8d 2c,Qc,Ad4c,0.907,78.08,4.86775,103.901,0.37,4.64,1.72,4.85,97.91,4.87
Ah 8d 2c,Qc,Ad5c,0.868,78.41,4.90525,104.259,0.44,4.68,2.09,4.90,97.47,4.91
Ah 8d 2c,Qc,Ad6c,0.898,79.10,5.024,105.856,0.46,4.79,19.55,5.02,80.00,5.03
Ah 8d 2c,Qc,Ad7c,0.833,79.93,5.22602,108.97,0.49,5.01,42.09,5.23,57.42,5.23
Ah 8d 2c,Qc,Ad8c,0.537,92.79,9.30924,167.207,95.42,9.31,4.27,9.31,0.31,8.89
Ah 8d 2c,Qc,Ad9c,0.612,83.98,5.88468,116.79,2.76,5.86,72.57,5.89,24.67,5.88
Ah 8d 2c,Qc,AdTc,0.682,85.35,6.22587,121.579,4.59,6.22,90.33,6.23,5.07,6.21
Ah 8d 2c,Qc,AdJc,0.700,86.04,6.46461,125.218,53.53,6.47,44.62,6.47,1.85,6.40
Ah 8d 2c,Qc,Ad2d,0.460,90.17,8.08029,149.361,22.26,8.08,77.40,8.08,0.34,7.64
Ah 8d 2c,Qc,Ad3d,0.779,77.90,4.81103,102.936,0.33,4.58,1.36,4.78,98.31,4.81
Ah 8d 2c,Qc,Ad4d,0.771,77.90,4.81118,102.941,0.32,4.58,1.36,4.78,98.32,4.81
Ah 8d 2c,Qc,Ad5d,0.682,78.17,4.84152,103.228,0.45,4.63,1.95,4.83,97.60,4.84
Ah 8d 2c,Qc,Ad6d,0.757,78.79,4.97217,105.18,0.50,4.76,31.47,4.97,68.03,4.97
Ah 8d 2c,Qc,Ad7d,0.517,79.59,5.16298,108.12,0.57,4.98,39.56,5.16,59.87,5.16
Ah 8d 2c,Qc,Ad9d,0.503,83.74,5.84861,116.401,11.64,5.85,57.66,5.85,30.70,5.85
Ah 8d 2c,Qc,AdTd,0.698,85.08,6.16465,120.761,5.59,6.15,63.92,6.17,30.49,6.17
Ah 8d 2c,Qc,Ad2h,0.669,90.16,8.07626,149.303,21.97,8.08,77.69,8.08,0.34,7.64
Ah 8d 2c,Qc,Ad3h,0.916,77.90,4.81078,102.928,0.33,4.58,1.36,4.78,98.31,4.81
Ah 8d 2c,Qc,Ad4h,0.911,77.90,4.81095,102.932,0.32,4.58,1.36,4.78,98.32,4.81
Ah 8d 2c,Qc,Ad5h,0.857,78.17,4.84025,103.198,0.46,4.63,2.01,4.83,97.53,4.84
Ah 8d 2c,Qc,Ad6h,0.885,78.77,4.96478,105.042,0.51,4.76,27.72,4.96,71.77,4.97
Ah 8d 2c,Qc,Ad7h,0.807,79.56,5.15064,107.896,0.57,4.96,41.14,5.15,58.29,5.15
Ah 8d 2c,Qc,Ad8h,0.458,92.62,9.2759,166.922,72.49,9.28,27.17,9.28,0.34,8.90
Ah 8d 2c,Qc,Ad9h,0.545,83.77,5.86133,116.62,10.19,5.86,51.52,5.86,38.29,5.86
Ah 8d 2c,Qc,AdTh,0.687,85.09,6.16719,120.804,5.25,6.15,63.14,6.17,31.61,6.17
Ah 8d 2c,Qc,AdJh,0.677,85.83,6.38833,124.053,23.11,6.39,73.04,6.39,3.86,6.37
Ah 8d 2c,Qc,Ad2s,0.718,90.16,8.07324,149.239,32.29,8.07,67.37,8.08,0.34,7.64
Ah 8d 2c,Qc,Ad3s,0.831,77.85,4.80813,102.937,0.33,4.57,1.37,4.78,98.30,4.81
Ah 8d 2c,Qc,Ad4s,0.828,77.84,4.80773,102.934,0.33,4.57,1.37,4.78,98.30,4.81
Ah 8d 2c,Qc,Ad5s,0.815,78.05,4.83151,103.175,0.47,4.62,2.20,4.83,97.34,4.83
Ah 8d 2c,Qc,Ad6s,0.842,78.69,4.96636,105.194,0.49,4.74,18.21,4.97,81.30,4.97
Ah 8d 2c,Qc,Ad7s,0.731,79.40,5.14717,108.04,0.55,4.94,30.43,5.15,69.02,5.15
Ah 8d 2c,Qc,Ad8s,0.461,92.57,9.24977,166.54,75.93,9.25,23.71,9.25,0.35,8.88
Ah 8d 2c,Qc,Ad9s,0.594,83.52,5.8435,116.613,6.68,5.84,42.09,5.84,51.23,5.85
Ah 8d 2c,Qc,AdTs,0.730,85.03,6.16664,120.865,5.62,6.15,57.95,6.17,36.43,6.17
Ah 8d 2c,Qc,AdJs,0.712,85.75,6.3893,124.192,35.17,6.39,60.65,6.39,4.18,6.38
Ah 8d 2c,Qc,6h6c,0.720,33.30,1.08672,54.3889,23.43,1.09,44.48,1.09,32.08,1.09
Ah 8d 2c,Qc,6h6d,0.762,33.03,1.0436,52.667,2.93,1.02,45.85,1.04,51.22,1.04
Ah 8d 2c,Qc,6h5h,0.463,4.80,0.6821,236.739,2.32,0.68,15.87,0.68,81.81,0.68
Ah 8d 2c,Qc,7h7c,0.537,34.44,1.09697,53.0844,2.62,1.09,28.65,1.09,68.73,1.10
Ah 8d 2c,Qc,7h7d,0.628,34.25,1.0738,52.2535,1.03,1.02,1.25,1.06,97.72,1.07
Ah 8d 2c,Qc,7h6h,0.511,5.14,0.61216,198.397,1.06,0.55,5.16,0.61,93.78,0.61
Ah 8d 2c,Qc,8h8c,0.348,95.41,11.7179,204.685,85.46,11.72,14.22,11.72,0.32,11.33
Ah 8d 2c,Qc,8h7h,0.655,41.32,1.49914,60.4719,2.29,1.49,69.12,1.50,28.59,1.50
Ah 8d 2c,Qc,9h9c,0.618,46.23,1.67756,60.4739,0.26,1.26,14.95,1.68,84.78,1.68
