Flop,Turn,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 21%,RAISE 21 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ah 8d 2c,8h,JsTs,0.340,13.78,-0.0028,-0.16952,0.05,-5.01,0.01,-4.83,99.94,0.00
Ah 8d 2c,8h,QsTc,0.003,19.74,-0.00278,-0.11729,0.06,-4.21,0.01,-3.89,99.93,0.00
Ah 8d 2c,8h,QsJc,0.016,20.26,-0.00283,-0.11639,0.06,-4.32,0.01,-3.80,99.93,0.00
Ah 8d 2c,8h,QsTd,0.003,19.99,-0.00276,-0.11521,0.06,-4.02,0.01,-3.87,99.93,0.00
Ah 8d 2c,8h,QsJd,0.019,22.28,-0.0027,-0.10107,0.06,-3.83,0.01,-3.67,99.93,0.00
Ah 8d 2c,8h,QsTh,0.003,18.64,-0.00285,-0.12732,0.05,-4.69,0.01,-4.20,99.94,0.00
Ah 8d 2c,8h,QsJh,0.100,18.93,-0.00297,-0.13063,0.05,-5.37,0.01,-4.26,99.94,0.00
Ah 8d 2c,8h,Qs8s,0.921,84.52,20.5347,202.467,0.25,19.38,99.75,20.54,0.00,0.00
Ah 8d 2c,8h,Qs9s,0.000,19.02,-0.00274,-0.12002,0.06,-3.99,0.01,-4.05,99.93,0.00
Ah 8d 2c,8h,QsTs,0.144,19.72,-0.00274,-0.11581,0.06,-4.22,0.01,-3.92,99.93,0.00
Ah 8d 2c,8h,QsJs,0.533,19.56,-0.00289,-0.12317,0.05,-4.64,0.01,-3.91,99.94,0.00
Ah 8d 2c,8h,KsTc,0.003,25.92,-0.00284,-0.09124,0.05,-4.33,0.02,-2.54,99.93,0.00
Ah 8d 2c,8h,KsJc,0.004,25.33,-0.00297,-0.09785,0.05,-4.62,0.02,-2.91,99.93,0.00
Ah 8d 2c,8h,KsQc,0.011,26.64,-0.00296,-0.09255,0.06,-4.02,0.03,-2.50,99.92,0.00
Ah 8d 2c,8h,KsTd,0.003,26.10,-0.00285,-0.09099,0.06,-4.17,0.02,-2.39,99.92,0.00
Ah 8d 2c,8h,KsJd,0.128,27.42,-0.00279,-0.08478,0.06,-3.95,0.02,-2.40,99.92,0.00
Ah 8d 2c,8h,KsQd,0.028,27.65,-0.00279,-0.08413,0.06,-3.78,0.03,-2.38,99.92,0.00
Ah 8d 2c,8h,KsTh,0.003,24.65,-0.00285,-0.09625,0.05,-4.59,0.02,-2.77,99.93,0.00
Ah 8d 2c,8h,KsJh,0.048,24.09,-0.00301,-0.1042,0.04,-5.36,0.02,-3.39,99.94,0.00
Ah 8d 2c,8h,KsQh,0.007,25.99,-0.00274,-0.0878,0.05,-3.61,0.03,-2.86,99.92,0.00
Ah 8d 2c,8h,Ks2s,0.639,30.10,-0.00276,-0.07649,0.09,-2.65,0.09,-0.46,99.82,0.00
Ah 8d 2c,8h,Ks3s,0.000,24.91,-0.00285,-0.09541,0.06,-4.00,0.01,-2.63,99.92,0.00
Ah 8d 2c,8h,Ks4s,0.001,25.04,-0.00285,-0.09487,0.06,-3.99,0.02,-2.60,99.92,0.00
Ah 8d 2c,8h,Ks5s,0.000,24.89,-0.00283,-0.0946,0.06,-4.01,0.02,-2.66,99.92,0.00
Ah 8d 2c,8h,Ks6s,0.000,25.20,-0.00281,-0.09297,0.06,-3.72,0.02,-2.51,99.92,0.00
Ah 8d 2c,8h,Ks7s,0.000,25.53,-0.00278,-0.09068,0.06,-3.77,0.02,-2.48,99.92,0.00
Ah 8d 2c,8h,Ks8s,0.798,86.43,21.7358,209.572,0.59,21.36,99.40,21.74,0.00,0.00
Ah 8d 2c,8h,Ks9s,0.004,25.64,-0.00272,-0.08844,0.06,-3.89,0.02,-2.39,99.92,0.00
Ah 8d 2c,8h,KsTs,0.166,25.89,-0.00281,-0.09047,0.05,-4.32,0.02,-2.66,99.93,0.00
Ah 8d 2c,8h,KsJs,0.577,24.93,-0.00302,-0.10095,0.05,-4.92,0.02,-3.02,99.93,0.00
Ah 8d 2c,8h,KsQs,0.458,25.96,-0.003,-0.09614,0.06,-4.11,0.03,-2.35,99.92,0.00
Ah 8d 2c,8h,As3c,0.898,44.53,-0.00149,-0.02795,0.10,-2.05,41.75,0.00,58.15,0.00
Ah 8d 2c,8h,As4c,0.892,44.53,-0.00242,-0.04528,0.10,-2.06,41.96,0.00,57.94,0.00
Ah 8d 2c,8h,As5c,0.855,44.53,-0.00551,-0.10315,0.09,-2.04,65.39,-0.01,34.51,0.00
Ah 8d 2c,8h,As6c,0.882,44.97,0.12869,2.3847,0.05,-1.91,97.97,0.13,1.99,0.00
Ah 8d 2c,8h,As7c,0.780,45.28,0.20868,3.84066,0.03,-2.01,97.79,0.21,2.18,0.00
Ah 8d 2c,8h,As8c,0.415,97.92,32.9756,280.633,1.99,32.88,98.01,32.98,0.00,0.00
Ah 8d 2c,8h,As9c,0.586,47.43,1.13266,19.9005,0.02,-1.37,99.72,1.14,0.26,0.00
Ah 8d 2c,8h,AsTc,0.673,48.81,1.44587,24.6841,0.03,-1.40,99.81,1.45,0.17,0.00
Ah 8d 2c,8h,AsJc,0.698,50.63,2.28829,37.6604,0.07,-0.89,99.91,2.29,0.02,0.00
Ah 8d 2c,8h,As2d,0.600,47.58,1.37459,24.0736,0.02,-0.52,99.77,1.38,0.20,0.00
Ah 8d 2c,8h,As3d,0.901,44.53,-0.00124,-0.02328,0.10,-2.05,83.90,0.00,16.01,0.00
Ah 8d 2c,8h,As4d,0.898,44.54,0.0012,0.02249,0.09,-2.05,87.79,0.00,12.12,0.00
Ah 8d 2c,8h,As5d,0.861,44.52,-0.00573,-0.10735,0.10,-2.04,59.47,-0.01,40.44,0.00
Ah 8d 2c,8h,As6d,0.884,44.84,0.07763,1.44297,0.05,-1.99,96.84,0.08,3.11,0.00
Ah 8d 2c,8h,As7d,0.813,45.21,0.17045,3.1416,0.03,-2.06,97.69,0.18,2.28,0.00
Ah 8d 2c,8h,As9d,0.590,47.94,1.24186,21.5861,0.02,-1.25,99.74,1.25,0.24,0.00
Ah 8d 2c,8h,AsTd,0.697,49.03,1.54049,26.1812,0.03,-1.32,99.82,1.54,0.15,0.00
Ah 8d 2c,8h,AsJd,0.727,52.41,3.16764,50.3631,0.07,-0.18,99.91,3.17,0.02,0.00
Ah 8d 2c,8h,As2h,0.592,47.61,1.36312,23.8593,0.02,-0.54,99.77,1.37,0.21,0.00
Ah 8d 2c,8h,As3h,0.903,44.59,0.0165,0.30843,0.08,-2.19,93.29,0.02,6.63,0.00
Ah 8d 2c,8h,As4h,0.895,44.60,0.01893,0.35367,0.08,-2.19,94.52,0.02,5.39,0.00
Ah 8d 2c,8h,As5h,0.843,44.53,0.00479,0.08968,0.08,-2.28,39.69,0.02,60.22,0.00
Ah 8d 2c,8h,As6h,0.866,44.79,0.10031,1.86641,0.05,-1.99,96.32,0.11,3.62,0.00
Ah 8d 2c,8h,As7h,0.708,44.35,0.001,0.01887,0.08,-2.73,46.84,0.01,53.07,0.00
Ah 8d 2c,8h,As9h,0.523,46.41,0.90228,16.2003,0.03,-0.92,99.67,0.91,0.30,0.00
Ah 8d 2c,8h,AsTh,0.675,47.98,1.26625,21.9935,0.03,-1.36,99.80,1.27,0.17,0.00
Ah 8d 2c,8h,AsJh,0.679,49.80,2.0762,34.7453,0.07,-1.49,99.91,2.08,0.02,0.00
Ah 8d 2c,8h,As2s,0.651,47.63,1.39577,24.4191,0.02,-0.53,99.77,1.40,0.20,0.00
Ah 8d 2c,8h,As3s,0.774,44.54,-0.00083,-0.01557,0.10,-2.05,75.56,0.00,24.34,0.00
Ah 8d 2c,8h,As4s,0.759,44.56,0.00632,0.11816,0.09,-2.04,89.77,0.01,10.14,0.00
Ah 8d 2c,8h,As5s,0.765,44.52,-0.00186,-0.03488,0.10,-2.04,64.83,0.00,35.07,0.00
Ah 8d 2c,8h,As6s,0.802,44.92,0.10732,1.9908,0.05,-1.96,97.55,0.11,2.40,0.00
Ah 8d 2c,8h,As7s,0.637,45.32,0.2126,3.90942,0.03,-2.02,97.63,0.22,2.34,0.00
Ah 8d 2c,8h,As8s,0.331,98.02,33.8176,287.498,2.42,33.73,97.57,33.82,0.00,0.00
Ah 8d 2c,8h,As9s,0.554,47.53,1.13119,19.8324,0.02,-1.39,99.72,1.13,0.27,0.00
Ah 8d 2c,8h,AsTs,0.706,48.65,1.37809,23.6047,0.03,-1.49,99.80,1.38,0.17,0.00
Ah 8d 2c,9h,6c5c,0.198,11.84,-0.00318,-0.22374,0.08,-3.19,0.01,-3.60,99.90,0.00
Ah 8d 2c,9h,7c6c,0.300,20.76,0.61686,24.7645,98.06,0.62,1.88,0.33,0.06,0.00
Ah 8d 2c,9h,8c7c,0.482,30.80,-0.00303,-0.08187,0.22,-0.87,0.07,-1.59,99.71,0.00
Ah 8d 2c,9h,9c8c,0.911,66.43,11.0741,138.915,0.29,10.29,99.71,11.08,0.00,0.00
Ah 8d 2c,9h,Tc8c,0.742,32.58,-0.00325,-0.08311,0.22,-1.05,0.09,-1.00,99.69,0.00
