Flop,Turn,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 21%,RAISE 21 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ah 8d 2c,3c,6c5c,0.197,26.78,0.91654,28.5155,13.45,0.90,86.45,0.92,0.10,0.00
Ah 8d 2c,3c,7c6c,0.328,22.81,-0.00298,-0.10893,0.07,-2.21,0.10,-1.51,99.83,0.00
Ah 8d 2c,3c,8c7c,0.484,47.89,3.97123,69.107,0.56,3.96,99.38,3.97,0.06,0.00
Ah 8d 2c,3c,9c8c,0.913,48.14,3.98178,68.9304,0.13,3.95,99.80,3.98,0.07,0.00
Ah 8d 2c,3c,Tc8c,0.744,48.25,3.96741,68.5257,0.18,3.97,99.75,3.97,0.07,0.00
Ah 8d 2c,3c,Tc9c,0.402,25.24,-0.00328,-0.10827,0.05,-2.37,0.22,-0.93,99.73,0.00
Ah 8d 2c,3c,Jc8c,0.767,47.69,4.02775,70.3752,0.04,3.52,99.89,4.03,0.06,0.00
Ah 8d 2c,3c,Jc9c,0.479,27.12,-0.0042,-0.129,0.02,-2.27,0.54,-0.68,99.44,0.00
Ah 8d 2c,3c,JcTc,0.491,28.13,-0.00591,-0.17502,0.01,-2.42,0.81,-0.69,99.18,0.00
Ah 8d 2c,3c,JcTd,0.028,13.89,-0.0028,-0.16813,0.04,-6.57,0.01,-5.37,99.96,0.00
Ah 8d 2c,3c,JcTh,0.049,13.93,-0.00283,-0.16909,0.04,-6.60,0.01,-5.37,99.96,0.00
Ah 8d 2c,3c,JcTs,0.197,13.95,-0.00282,-0.16863,0.04,-6.62,0.01,-5.37,99.96,0.00
Ah 8d 2c,3c,Qc8c,0.870,49.75,4.44116,74.3942,0.27,4.26,99.67,4.44,0.06,0.00
Ah 8d 2c,3c,Qc9c,0.016,32.41,0.15148,3.89511,0.07,-0.94,97.36,0.16,2.57,0.00
Ah 8d 2c,3c,QcTc,0.386,32.15,0.06555,1.69889,0.06,-1.22,98.11,0.07,1.82,0.00
Ah 8d 2c,3c,QcJc,0.480,31.64,-0.0274,-0.72168,0.07,-1.25,73.54,-0.04,26.38,0.00
Ah 8d 2c,3c,QcTd,0.003,18.72,-0.00264,-0.11758,0.04,-5.30,0.01,-4.53,99.95,0.00
Ah 8d 2c,3c,QcJd,0.005,19.17,-0.00274,-0.11902,0.04,-5.81,0.01,-4.50,99.95,0.00
Ah 8d 2c,3c,QcTh,0.003,18.72,-0.00267,-0.11896,0.04,-5.34,0.01,-4.53,99.95,0.00
Ah 8d 2c,3c,QcJh,0.003,19.45,-0.00274,-0.11738,0.04,-5.87,0.01,-4.47,99.95,0.00
Ah 8d 2c,3c,QcTs,0.003,18.74,-0.00267,-0.11858,0.04,-5.35,0.01,-4.53,99.95,0.00
Ah 8d 2c,3c,QcJs,0.013,19.53,-0.00268,-0.11442,0.04,-5.51,0.01,-4.46,99.95,0.00
Ah 8d 2c,3c,Kc4c,0.238,42.13,3.68905,72.9638,1.27,3.46,98.68,3.69,0.05,0.00
Ah 8d 2c,3c,Kc5c,0.348,41.58,3.41781,68.4961,0.33,3.04,99.61,3.42,0.06,0.00
Ah 8d 2c,3c,Kc6c,0.002,36.83,1.58571,35.8761,0.02,-0.05,99.76,1.59,0.22,0.00
Ah 8d 2c,3c,Kc7c,0.002,35.86,1.2128,28.187,0.02,-0.20,99.67,1.22,0.31,0.00
Ah 8d 2c,3c,Kc8c,0.745,50.29,5.05296,83.7246,0.21,4.79,99.75,5.06,0.04,0.00
Ah 8d 2c,3c,Kc9c,0.349,35.14,0.87251,20.694,0.04,-0.50,99.66,0.88,0.30,0.00
Ah 8d 2c,3c,KcTc,0.782,35.03,0.88549,21.0638,0.04,-0.64,99.71,0.89,0.25,0.00
Ah 8d 2c,3c,KcJc,0.960,34.42,0.84729,20.5153,0.05,-0.67,99.70,0.85,0.25,0.00
Ah 8d 2c,3c,KcQc,0.974,36.41,1.07714,24.6498,0.04,0.56,99.73,1.08,0.23,0.00
Ah 8d 2c,3c,KcTd,0.002,21.86,-0.0027,-0.10277,0.03,-5.11,0.02,-4.04,99.94,0.00
Ah 8d 2c,3c,KcJd,0.003,22.03,-0.00279,-0.10542,0.03,-5.56,0.03,-3.99,99.94,0.00
Ah 8d 2c,3c,KcQd,0.005,22.75,-0.00269,-0.09859,0.03,-4.49,0.03,-3.97,99.94,0.00
Ah 8d 2c,3c,KcTh,0.002,21.88,-0.00272,-0.10369,0.03,-5.13,0.02,-4.03,99.94,0.00
Ah 8d 2c,3c,KcJh,0.003,22.36,-0.00279,-0.1041,0.03,-5.63,0.03,-3.96,99.94,0.00
Ah 8d 2c,3c,KcQh,0.004,22.94,-0.00272,-0.09891,0.03,-4.74,0.03,-3.94,99.94,0.00
Ah 8d 2c,3c,KcTs,0.002,21.91,-0.00271,-0.10324,0.03,-5.14,0.02,-4.04,99.94,0.00
Ah 8d 2c,3c,KcJs,0.008,22.45,-0.00276,-0.10227,0.03,-5.30,0.03,-3.96,99.94,0.00
Ah 8d 2c,3c,KcQs,0.017,22.93,-0.00272,-0.09872,0.03,-4.63,0.03,-3.95,99.94,0.00
Ah 8d 2c,3c,Ac4c,0.747,60.60,8.83236,121.462,0.64,8.62,99.35,8.83,0.01,0.00
Ah 8d 2c,3c,Ac5c,0.676,60.09,8.4385,117.027,0.83,8.12,99.16,8.44,0.01,0.00
Ah 8d 2c,3c,Ac6c,0.767,56.46,7.35231,108.516,0.04,5.38,99.93,7.36,0.03,0.00
Ah 8d 2c,3c,Ac7c,0.543,55.10,6.87802,104.023,0.04,4.99,99.93,6.88,0.03,0.00
Ah 8d 2c,3c,Ac8c,0.257,87.07,22.474,215.091,4.58,22.39,95.42,22.48,0.00,0.00
Ah 8d 2c,3c,Ac9c,0.488,55.06,6.93788,105.005,0.09,5.45,99.89,6.94,0.02,0.00
Ah 8d 2c,3c,AcTc,0.685,55.95,7.15438,106.552,0.16,5.81,99.83,7.16,0.01,0.00
Ah 8d 2c,3c,Ac2d,0.599,70.16,11.9023,141.368,0.17,10.49,99.83,11.90,0.00,0.00
Ah 8d 2c,3c,Ac3d,0.908,70.91,12.5547,147.549,0.15,10.91,99.85,12.56,0.00,0.00
Ah 8d 2c,3c,Ac4d,0.904,47.65,1.90211,33.268,0.08,1.79,99.79,1.90,0.13,0.00
Ah 8d 2c,3c,Ac5d,0.867,47.07,1.56869,27.7745,0.07,1.33,99.78,1.57,0.15,0.00
Ah 8d 2c,3c,Ac6d,0.897,42.47,0.18573,3.64391,0.05,-1.09,98.65,0.19,1.30,0.00
Ah 8d 2c,3c,Ac7d,0.850,42.28,0.18137,3.5748,0.05,-1.23,98.60,0.18,1.36,0.00
Ah 8d 2c,3c,Ac9d,0.611,43.05,0.50514,9.77884,0.03,-0.51,99.41,0.51,0.56,0.00
Ah 8d 2c,3c,AcTd,0.691,43.69,0.64516,12.3065,0.09,-0.43,99.75,0.65,0.15,0.00
Ah 8d 2c,3c,AcJd,0.724,47.05,1.93702,34.31,0.09,-0.11,99.88,1.94,0.03,0.00
Ah 8d 2c,3c,Ac2h,0.595,70.17,11.9074,141.413,0.17,10.47,99.83,11.91,0.00,0.00
Ah 8d 2c,3c,Ac3h,0.910,70.98,12.5884,147.783,0.15,10.96,99.85,12.59,0.00,0.00
Ah 8d 2c,3c,Ac4h,0.902,47.70,1.93041,33.7242,0.06,1.81,99.81,1.93,0.13,0.00
Ah 8d 2c,3c,Ac5h,0.843,47.12,1.57778,27.9044,0.07,1.35,99.78,1.58,0.15,0.00
Ah 8d 2c,3c,Ac6h,0.882,42.48,0.18273,3.58486,0.05,-1.08,98.68,0.19,1.27,0.00
Ah 8d 2c,3c,Ac7h,0.791,42.36,0.20895,4.11034,0.04,-1.20,98.73,0.21,1.23,0.00
Ah 8d 2c,3c,Ac8h,0.411,80.60,17.9575,185.665,1.34,17.79,98.66,17.96,0.00,0.00
Ah 8d 2c,3c,Ac9h,0.540,43.14,0.52909,10.2212,0.03,-0.48,99.45,0.53,0.52,0.00
Ah 8d 2c,3c,AcTh,0.672,43.66,0.63481,12.1157,0.09,-0.47,99.76,0.64,0.15,0.00
Ah 8d 2c,3c,AcJh,0.667,47.33,2.05406,36.1652,0.09,0.00,99.88,2.06,0.03,0.00
Ah 8d 2c,3c,Ac2s,0.656,70.25,11.9516,141.776,0.16,10.48,99.84,11.95,0.00,0.00
Ah 8d 2c,3c,Ac3s,0.813,71.22,12.7416,149.094,0.14,11.00,99.86,12.74,0.00,0.00
Ah 8d 2c,3c,Ac4s,0.793,47.81,1.97011,34.3386,0.14,1.85,99.73,1.97,0.13,0.00
Ah 8d 2c,3c,Ac5s,0.804,47.41,1.6787,29.5044,0.06,1.46,99.79,1.68,0.15,0.00
Ah 8d 2c,3c,Ac6s,0.837,42.48,0.18209,3.57189,0.05,-1.08,98.68,0.19,1.27,0.00
Ah 8d 2c,3c,Ac7s,0.711,42.44,0.22634,4.44385,0.04,-1.17,98.78,0.23,1.18,0.00
Ah 8d 2c,3c,Ac8s,0.402,80.59,17.95,185.62,1.48,17.81,98.52,17.95,0.00,0.00
Ah 8d 2c,3c,Ac9s,0.593,43.10,0.51433,9.94556,0.03,-0.49,99.44,0.52,0.53,0.00
Ah 8d 2c,3c,AcTs,0.717,43.66,0.6262,11.9519,0.09,-0.49,99.76,0.63,0.15,0.00
Ah 8d 2c,3c,AcJs,0.710,47.42,2.09958,36.897,0.09,0.08,99.88,2.10,0.03,0.00
Ah 8d 2c,3c,6d6c,0.706,30.14,-0.00289,-0.08005,0.03,-3.34,0.15,-1.20,99.81,0.00
Ah 8d 2c,3c,6d5d,0.137,12.41,-0.00259,-0.17382,0.08,-2.65,0.01,-3.55,99.91,0.00
Ah 8d 2c,3c,7d7c,0.656,29.32,-0.00295,-0.0839,0.03,-3.76,0.15,-1.26,99.82,0.00
Ah 8d 2c,3c,7d6d,0.249,7.01,-0.00272,-0.32313,0.04,-5.97,0.00,-6.17,99.95,0.00
Ah 8d 2c,3c,9d9c,0.686,31.54,-0.00323,-0.08544,0.02,-3.64,0.50,-0.48,99.47,0.00
Ah 8d 2c,3c,TdTc,0.826,32.61,-0.00501,-0.12802,0.01,-3.66,1.22,-0.37,98.77,0.00
Ah 8d 2c,3c,Td9d,0.374,9.78,-0.00268,-0.22785,0.04,-5.84,0.01,-5.83,99.95,0.00
Ah 8d 2c,3c,JdTc,0.022,14.83,-0.00287,-0.16104,0.03,-7.20,0.01,-5.23,99.96,0.00
Ah 8d 2c,3c,Jd9d,0.475,12.72,-0.00273,-0.17903,0.04,-6.25,0.01,-5.39,99.96,0.00
Ah 8d 2c,3c,JdTd,0.426,15.82,-0.00274,-0.14455,0.04,-6.23,0.01,-5.02,99.95,0.00
Ah 8d 2c,3c,JdTh,0.064,15.76,-0.00278,-0.14693,0.04,-6.33,0.01,-5.01,99.95,0.00
Ah 8d 2c,3c,JdTs,0.245,15.79,-0.00277,-0.14644,0.04,-6.34,0.01,-5.01,99.95,0.00
Ah 8d 2c,3c,QdTc,0.003,17.57,-0.00271,-0.12861,0.04,-6.07,0.01,-4.90,99.95,0.00
Ah 8d 2c,3c,QdJc,0.004,17.73,-0.00273,-0.12824,0.04,-6.00,0.01,-4.81,99.95,0.00
Ah 8d 2c,3c,Qd9d,0.124,18.09,-0.00258,-0.11888,0.04,-5.23,0.01,-4.80,99.95,0.00
Ah 8d 2c,3c,QdTd,0.402,19.33,-0.00258,-0.11136,0.04,-5.19,0.01,-4.54,99.95,0.00
Ah 8d 2c,3c,QdJd,0.527,20.58,-0.00262,-0.10607,0.04,-5.45,0.01,-4.24,99.95,0.00
Ah 8d 2c,3c,QdTh,0.003,19.33,-0.00261,-0.11255,0.04,-5.23,0.01,-4.53,99.95,0.00
Ah 8d 2c,3c,QdJh,0.004,20.77,-0.00268,-0.10763,0.04,-5.79,0.01,-4.24,99.95,0.00
Ah 8d 2c,3c,QdTs,0.003,19.35,-0.00261,-0.11229,0.04,-5.24,0.01,-4.53,99.95,0.00
Ah 8d 2c,3c,QdJs,0.012,20.85,-0.00266,-0.10616,0.04,-5.53,0.01,-4.22,99.95,0.00
Ah 8d 2c,3c,KdTc,0.002,21.50,-0.00282,-0.10932,0.03,-6.52,0.02,-4.18,99.95,0.00
Ah 8d 2c,3c,KdJc,0.003,20.72,-0.00289,-0.1161,0.03,-6.56,0.03,-4.24,99.95,0.00
Ah 8d 2c,3c,KdQc,0.004,22.91,-0.00271,-0.09853,0.03,-4.78,0.03,-3.93,99.94,0.00
Ah 8d 2c,3c,Kd2d,0.367,28.47,-0.0032,-0.09359,0.01,-1.97,0.21,-1.40,99.78,0.00
Ah 8d 2c,3c,Kd3d,0.223,28.48,-0.00337,-0.09856,0.01,-3.01,0.20,-1.58,99.79,0.00
Ah 8d 2c,3c,Kd4d,0.225,27.83,-0.00261,-0.07831,0.06,-2.37,0.06,-1.97,99.88,0.00
Ah 8d 2c,3c,Kd5d,0.295,27.43,-0.00276,-0.08379,0.05,-3.14,0.05,-2.11,99.90,0.00
Ah 8d 2c,3c,Kd6d,0.002,21.58,-0.00272,-0.10487,0.04,-6.04,0.01,-4.12,99.95,0.00
Ah 8d 2c,3c,Kd7d,0.003,21.83,-0.00271,-0.1034,0.04,-6.06,0.01,-4.05,99.95,0.00
Ah 8d 2c,3c,Kd9d,0.427,22.99,-0.00269,-0.09762,0.03,-5.92,0.02,-3.78,99.95,0.00
Ah 8d 2c,3c,KdTd,0.853,23.48,-0.00271,-0.09635,0.03,-5.86,0.02,-3.69,99.95,0.00
Ah 8d 2c,3c,KdJd,0.970,23.72,-0.00278,-0.0975,0.03,-6.23,0.03,-3.53,99.94,0.00
Ah 8d 2c,3c,KdQd,0.979,24.42,-0.00266,-0.09086,0.03,-5.09,0.04,-3.50,99.94,0.00
Ah 8d 2c,3c,KdTh,0.002,23.50,-0.00274,-0.09703,0.03,-5.88,0.02,-3.68,99.95,0.00
Ah 8d 2c,3c,KdJh,0.003,24.04,-0.00279,-0.09669,0.03,-6.34,0.03,-3.55,99.94,0.00
Ah 8d 2c,3c,KdQh,0.004,24.60,-0.00273,-0.09261,0.03,-5.41,0.03,-3.59,99.94,0.00
Ah 8d 2c,3c,KdTs,0.002,23.53,-0.00273,-0.09667,0.03,-5.89,0.02,-3.68,99.95,0.00
Ah 8d 2c,3c,KdJs,0.003,24.13,-0.00275,-0.09485,0.03,-5.97,0.03,-3.52,99.94,0.00
Ah 8d 2c,3c,KdQs,0.009,24.60,-0.00273,-0.09234,0.03,-5.29,0.03,-3.59,99.94,0.00
Ah 8d 2c,3c,Ad4c,0.904,47.41,1.7808,31.3011,0.05,0.36,99.84,1.78,0.11,0.00
Ah 8d 2c,3c,Ad5c,0.865,46.96,1.48744,26.3963,0.06,0.03,99.82,1.49,0.13,0.00
Ah 8d 2c,3c,Ad6c,0.895,42.22,0.2246,4.43329,0.04,-2.61,98.85,0.23,1.11,0.00
Ah 8d 2c,3c,Ad7c,0.831,41.06,0.00041,0.00824,0.05,-2.93,45.82,0.00,54.13,0.00
Ah 8d 2c,3c,Ad8c,0.416,79.56,17.5246,183.561,0.50,16.93,99.50,17.53,0.00,0.00
Ah 8d 2c,3c,Ad9c,0.609,40.95,0.00322,0.06562,0.06,-2.48,69.85,0.01,30.09,0.00
Ah 8d 2c,3c,AdTc,0.679,41.71,0.11427,2.28291,0.07,-2.52,99.80,0.12,0.12,0.00
Ah 8d 2c,3c,AdJc,0.696,44.69,1.28181,23.9002,0.07,-1.80,99.91,1.28,0.02,0.00
Ah 8d 2c,3c,Ad2d,0.397,69.43,11.5658,138.81,0.14,9.72,99.86,11.57,0.00,0.00
Ah 8d 2c,3c,Ad3d,0.740,70.14,12.1914,144.856,0.13,10.15,99.87,12.19,0.00,0.00
Ah 8d 2c,3c,Ad4d,0.735,47.07,1.69794,30.063,0.05,0.22,99.84,1.70,0.11,0.00
Ah 8d 2c,3c,Ad5d,0.650,46.48,1.37612,24.6725,0.06,-0.33,99.82,1.38,0.12,0.00
Ah 8d 2c,3c,Ad6d,0.755,42.06,0.00468,0.09276,0.06,-2.98,71.30,0.01,28.65,0.00
Ah 8d 2c,3c,Ad7d,0.515,41.92,0.02507,0.49843,0.05,-3.02,89.65,0.03,10.31,0.00
Ah 8d 2c,3c,Ad9d,0.490,42.69,0.36405,7.10612,0.03,-2.27,99.32,0.37,0.65,0.00
Ah 8d 2c,3c,AdTd,0.692,43.18,0.44865,8.65781,0.05,-2.17,99.73,0.45,0.22,0.00
Ah 8d 2c,3c,Ad2h,0.657,69.44,11.5615,138.742,0.14,9.70,99.86,11.56,0.00,0.00
Ah 8d 2c,3c,Ad3h,0.912,70.21,12.221,145.046,0.13,10.19,99.87,12.22,0.00,0.00
Ah 8d 2c,3c,Ad4h,0.907,47.12,1.70717,30.1908,0.05,0.24,99.84,1.71,0.11,0.00
Ah 8d 2c,3c,Ad5h,0.853,46.53,1.38561,24.8144,0.06,-0.31,99.82,1.39,0.12,0.00
Ah 8d 2c,3c,Ad6h,0.882,42.06,0.00376,0.07457,0.06,-2.97,74.57,0.01,25.38,0.00
Ah 8d 2c,3c,Ad7h,0.804,42.00,0.03953,0.78436,0.04,-2.98,92.24,0.04,7.72,0.00
Ah 8d 2c,3c,Ad8h,0.349,79.77,17.5149,182.981,1.93,17.44,98.06,17.52,0.00,0.00
Ah 8d 2c,3c,Ad9h,0.543,42.78,0.3816,7.43295,0.03,-2.24,99.38,0.38,0.59,0.00
Ah 8d 2c,3c,AdTh,0.684,43.16,0.44376,8.56726,0.06,-2.19,99.77,0.45,0.17,0.00
Ah 8d 2c,3c,AdJh,0.673,46.80,1.89613,33.7599,0.07,-1.48,99.91,1.90,0.02,0.00
Ah 8d 2c,3c,Ad2s,0.705,69.52,11.5978,139.032,0.14,9.72,99.86,11.60,0.00,0.00
Ah 8d 2c,3c,Ad3s,0.826,70.45,12.3616,146.214,0.12,10.25,99.88,12.36,0.00,0.00
Ah 8d 2c,3c,Ad4s,0.819,47.23,1.74978,30.871,0.05,0.29,99.84,1.75,0.11,0.00
Ah 8d 2c,3c,Ad5s,0.812,46.83,1.47199,26.1924,0.05,-0.18,99.82,1.47,0.12,0.00
Ah 8d 2c,3c,Ad6s,0.840,42.07,0.00547,0.10832,0.06,-2.97,72.86,0.01,27.08,0.00
Ah 8d 2c,3c,Ad7s,0.729,42.08,0.06499,1.28689,0.04,-2.96,95.20,0.07,4.76,0.00
Ah 8d 2c,3c,Ad8s,0.342,79.75,17.508,182.949,2.02,17.46,97.98,17.51,0.00,0.00
Ah 8d 2c,3c,Ad9s,0.589,42.74,0.36804,7.17582,0.03,-2.26,99.35,0.37,0.62,0.00
Ah 8d 2c,3c,AdTs,0.726,43.17,0.43808,8.45741,0.05,-2.19,99.73,0.44,0.21,0.00
Ah 8d 2c,3c,AdJs,0.707,46.89,1.96457,34.9108,0.07,-1.32,99.91,1.97,0.02,0.00
Ah 8d 2c,3c,6h6c,0.713,30.14,-0.00291,-0.08052,0.03,-3.33,0.16,-1.20,99.81,0.00
Ah 8d 2c,3c,6h6d,0.755,29.50,-0.00289,-0.08153,0.03,-4.14,0.09,-1.88,99.88,0.00
Ah 8d 2c,3c,6h5h,0.181,12.43,-0.00259,-0.17373,0.08,-2.63,0.01,-3.54,99.91,0.00
Ah 8d 2c,3c,7h7c,0.533,29.42,-0.00295,-0.08356,0.03,-3.72,0.16,-1.24,99.82,0.00
Ah 8d 2c,3c,7h7d,0.624,29.71,-0.00293,-0.08225,0.02,-4.37,0.10,-1.81,99.87,0.00
Ah 8d 2c,3c,7h6h,0.304,7.14,-0.00272,-0.31708,0.04,-5.91,0.00,-6.14,99.95,0.00
Ah 8d 2c,3c,8h8c,0.018,95.03,37.1723,325.982,99.98,37.18,0.01,36.61,0.01,0.00
Ah 8d 2c,3c,8h7h,0.466,36.12,-0.00209,-0.04815,0.29,-0.10,0.73,-0.25,98.98,0.00
Ah 8d 2c,3c,9h9c,0.608,31.62,-0.00332,-0.08758,0.02,-3.61,0.52,-0.48,99.46,0.00
Ah 8d 2c,3c,9h9d,0.704,33.27,-0.00308,-0.07717,0.02,-3.87,0.30,-0.80,99.68,0.00
Ah 8d 2c,3c,9h8h,0.886,37.40,0.00911,0.20304,0.25,-0.05,32.41,0.03,67.34,0.00
Ah 8d 2c,3c,ThTc,0.836,32.64,-0.00511,-0.13049,0.01,-3.68,1.27,-0.36,98.71,0.00
Ah 8d 2c,3c,ThTd,0.861,34.13,-0.00329,-0.08041,0.02,-3.84,0.36,-0.71,99.62,0.00
Ah 8d 2c,3c,Th8h,0.702,37.61,0.00026,0.00585,0.28,-0.12,21.50,0.00,78.23,0.00
Ah 8d 2c,3c,Th9h,0.338,9.82,-0.00271,-0.22999,0.04,-5.85,0.01,-5.83,99.95,0.00
Ah 8d 2c,3c,JhTc,0.078,14.99,-0.00288,-0.1602,0.03,-7.35,0.01,-5.21,99.96,0.00
Ah 8d 2c,3c,JhTd,0.120,15.90,-0.00278,-0.14591,0.04,-6.51,0.01,-5.03,99.96,0.00
Ah 8d 2c,3c,Jh8h,0.745,37.90,-0.00242,-0.05321,0.11,-1.24,11.15,-0.01,88.74,0.00
Ah 8d 2c,3c,Jh9h,0.431,12.80,-0.00278,-0.18105,0.04,-6.47,0.01,-5.39,99.96,0.00
Ah 8d 2c,3c,JhTh,0.409,15.97,-0.00281,-0.14639,0.04,-6.51,0.01,-5.02,99.95,0.00
Ah 8d 2c,3c,JhTs,0.339,15.95,-0.00281,-0.14669,0.04,-6.56,0.01,-5.02,99.96,0.00
Ah 8d 2c,3c,QhTc,0.003,17.54,-0.00279,-0.13272,0.04,-6.50,0.01,-4.89,99.95,0.00
Ah 8d 2c,3c,QhJc,0.003,17.81,-0.00282,-0.1319,0.04,-6.48,0.01,-4.80,99.95,0.00
Ah 8d 2c,3c,QhTd,0.003,19.28,-0.00267,-0.1154,0.04,-5.62,0.01,-4.54,99.95,0.00
Ah 8d 2c,3c,QhJd,0.004,20.59,-0.00274,-0.11068,0.04,-6.01,0.01,-4.24,99.95,0.00
Ah 8d 2c,3c,Qh8h,0.833,38.38,-0.0036,-0.07828,0.10,-0.82,7.58,-0.04,92.32,0.00
Ah 8d 2c,3c,Qh9h,0.078,18.12,-0.00268,-0.12312,0.04,-5.64,0.01,-4.79,99.95,0.00
Ah 8d 2c,3c,QhTh,0.384,19.29,-0.0027,-0.11664,0.04,-5.66,0.01,-4.54,99.95,0.00
Ah 8d 2c,3c,QhJh,0.512,20.85,-0.00277,-0.11076,0.04,-6.23,0.01,-4.25,99.95,0.00
Ah 8d 2c,3c,QhTs,0.003,19.31,-0.0027,-0.11637,0.04,-5.68,0.01,-4.54,99.95,0.00
Ah 8d 2c,3c,QhJs,0.008,20.93,-0.00274,-0.1093,0.04,-5.97,0.01,-4.23,99.95,0.00
Ah 8d 2c,3c,KhTc,0.002,21.61,-0.00284,-0.10961,0.03,-6.70,0.02,-4.17,99.95,0.00
Ah 8d 2c,3c,KhJc,0.003,20.84,-0.00291,-0.11627,0.03,-6.76,0.03,-4.23,99.95,0.00
Ah 8d 2c,3c,KhQc,0.004,23.02,-0.00272,-0.09859,0.03,-4.94,0.03,-3.91,99.94,0.00
Ah 8d 2c,3c,KhTd,0.002,23.58,-0.00275,-0.09703,0.03,-6.07,0.02,-3.70,99.95,0.00
Ah 8d 2c,3c,KhJd,0.003,23.82,-0.0028,-0.09811,0.03,-6.44,0.03,-3.54,99.94,0.00
Ah 8d 2c,3c,KhQd,0.004,24.52,-0.00273,-0.09281,0.03,-5.40,0.03,-3.60,99.94,0.00
Ah 8d 2c,3c,Kh2h,0.371,28.56,-0.00324,-0.09449,0.01,-2.51,0.21,-1.41,99.78,0.00
Ah 8d 2c,3c,Kh3h,0.391,28.63,-0.00331,-0.09642,0.01,-3.23,0.20,-1.53,99.79,0.00
Ah 8d 2c,3c,Kh4h,0.325,27.85,-0.00272,-0.08134,0.06,-2.65,0.06,-1.98,99.88,0.00
Ah 8d 2c,3c,Kh5h,0.361,27.68,-0.00282,-0.08504,0.05,-3.38,0.05,-2.09,99.90,0.00
Ah 8d 2c,3c,Kh6h,0.009,21.67,-0.00278,-0.10695,0.04,-6.36,0.01,-4.12,99.95,0.00
Ah 8d 2c,3c,Kh7h,0.006,22.02,-0.00277,-0.10493,0.04,-6.35,0.01,-4.04,99.95,0.00
Ah 8d 2c,3c,Kh8h,0.631,37.95,-0.00255,-0.05594,0.11,-0.69,12.19,-0.01,87.69,0.00
Ah 8d 2c,3c,Kh9h,0.529,23.18,-0.00274,-0.09837,0.03,-6.11,0.02,-3.78,99.95,0.00
Ah 8d 2c,3c,KhTh,0.789,23.60,-0.00277,-0.09771,0.03,-6.09,0.02,-3.69,99.95,0.00
Ah 8d 2c,3c,KhJh,0.959,24.14,-0.00282,-0.09722,0.03,-6.54,0.03,-3.56,99.94,0.00
Ah 8d 2c,3c,KhQh,0.974,24.70,-0.00276,-0.09311,0.03,-5.64,0.03,-3.59,99.94,0.00
Ah 8d 2c,3c,KhTs,0.002,23.63,-0.00276,-0.09735,0.03,-6.10,0.02,-3.69,99.95,0.00
Ah 8d 2c,3c,KhJs,0.003,24.23,-0.00278,-0.09547,0.03,-6.17,0.03,-3.54,99.94,0.00
Ah 8d 2c,3c,KhQs,0.004,24.69,-0.00275,-0.09298,0.03,-5.52,0.03,-3.60,99.94,0.00
Ah 8d 2c,3c,6s6c,0.809,30.15,-0.00292,-0.08081,0.03,-3.33,0.16,-1.20,99.81,0.00
Ah 8d 2c,3c,6s6d,0.824,29.51,-0.00289,-0.08172,0.03,-4.14,0.09,-1.88,99.88,0.00
Ah 8d 2c,3c,6s6h,0.839,29.52,-0.0029,-0.08198,0.03,-4.13,0.09,-1.89,99.88,0.00
Ah 8d 2c,3c,6s5s,0.001,12.46,-0.00254,-0.1699,0.08,-2.52,0.01,-3.51,99.90,0.00
Ah 8d 2c,3c,7s7c,0.802,29.49,-0.00294,-0.0832,0.03,-3.70,0.16,-1.22,99.81,0.00
Ah 8d 2c,3c,7s7d,0.819,29.78,-0.00293,-0.08199,0.02,-4.34,0.10,-1.79,99.87,0.00
Ah 8d 2c,3c,7s7h,0.799,29.87,-0.00293,-0.08175,0.02,-4.31,0.10,-1.78,99.87,0.00
Ah 8d 2c,3c,7s6s,0.001,7.08,-0.00271,-0.31909,0.04,-5.88,0.00,-6.14,99.95,0.00
Ah 8d 2c,3c,8s8c,0.015,95.03,37.229,326.475,99.98,37.23,0.01,36.61,0.01,0.00
Ah 8d 2c,3c,8s8h,0.012,94.33,37.1057,327.805,99.98,37.11,0.01,35.62,0.01,0.00
Ah 8d 2c,3c,8s7s,0.500,36.15,-0.00232,-0.05359,0.34,-0.19,0.72,-0.23,98.95,0.00
Ah 8d 2c,3c,9s9c,0.710,31.59,-0.00335,-0.08836,0.02,-3.62,0.52,-0.48,99.46,0.00
Ah 8d 2c,3c,9s9d,0.749,33.24,-0.00309,-0.07758,0.02,-3.89,0.30,-0.80,99.68,0.00
Ah 8d 2c,3c,9s9h,0.713,33.32,-0.00314,-0.07857,0.02,-3.86,0.30,-0.81,99.68,0.00
Ah 8d 2c,3c,9s8s,0.952,37.33,0.00035,0.00777,0.22,-0.17,18.95,0.00,80.83,0.00
Ah 8d 2c,3c,TsTc,0.765,32.68,-0.00501,-0.12776,0.01,-3.68,1.25,-0.36,98.74,0.00
Ah 8d 2c,3c,TsTd,0.812,34.16,-0.00328,-0.0799,0.02,-3.85,0.36,-0.71,99.62,0.00
Ah 8d 2c,3c,TsTh,0.814,34.20,-0.00327,-0.07962,0.02,-3.87,0.37,-0.70,99.62,0.00
