Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Qd Jh 2h,3d,AhKs,0.611,34.03,3.93986,96.4933,98.64,3.94,0.53,3.74,0.83,3.70
Qd Jh 2h,3d,2s2c,0.999,93.37,27.9589,249.529,99.84,27.96,0.15,27.47,0.01,19.44
Qd Jh 2h,3d,2s2d,0.999,93.59,27.8318,247.821,99.84,27.83,0.15,27.32,0.01,19.52
Qd Jh 2h,3d,3s3c,0.139,93.72,27.16,241.501,99.79,27.16,0.20,26.77,0.01,19.52
Qd Jh 2h,3d,3s3h,0.874,93.84,27.2854,242.295,99.79,27.29,0.20,26.85,0.01,19.45
Qd Jh 2h,3d,4s4c,0.075,31.65,2.56241,67.4773,1.29,2.37,0.44,2.37,98.27,2.57
Qd Jh 2h,3d,4s4d,0.174,31.76,2.67883,70.284,2.69,2.55,0.73,2.48,96.58,2.68
Qd Jh 2h,3d,4s4h,0.764,31.46,3.04862,80.7512,1.57,2.49,0.52,2.48,97.91,3.06
Qd Jh 2h,3d,5s5c,0.042,31.72,2.57971,67.7807,1.25,2.39,0.42,2.38,98.33,2.58
Qd Jh 2h,3d,5s5d,0.069,31.83,2.7574,72.1841,1.90,2.57,0.52,2.48,97.58,2.76
Qd Jh 2h,3d,5s5h,0.628,31.53,3.19276,84.3783,1.75,2.52,0.64,2.56,97.61,3.21
Qd Jh 2h,3d,6s6c,0.026,32.90,2.71069,68.6536,0.26,2.12,0.20,2.17,99.54,2.71
Qd Jh 2h,3d,6s6d,0.034,33.02,2.82992,71.4123,0.29,2.32,0.22,2.32,99.49,2.83
Qd Jh 2h,3d,6s6h,0.629,32.70,3.41025,86.9083,0.23,2.28,0.22,2.37,99.55,3.42
Qd Jh 2h,3d,6s5s,0.330,13.43,2.14393,133.037,1.14,1.72,0.53,1.51,98.33,2.15
Qd Jh 2h,3d,7s7c,0.030,36.40,3.14279,71.9579,0.15,2.14,0.14,2.47,99.71,3.15
Qd Jh 2h,3d,7s7d,0.039,36.52,3.28123,74.8803,0.16,2.34,0.15,2.62,99.69,3.28
Qd Jh 2h,3d,7s7h,0.640,36.23,3.83067,88.1199,0.13,2.32,0.14,2.58,99.73,3.83
Qd Jh 2h,3d,7s5s,0.031,4.97,0.28916,48.52,0.88,-0.30,0.35,-0.24,98.76,0.30
Qd Jh 2h,3d,7s6s,0.071,4.96,0.20051,33.7207,0.56,-0.50,0.23,-0.45,99.21,0.21
Qd Jh 2h,3d,8s8c,0.034,40.31,4.00004,82.702,0.13,2.36,0.12,3.01,99.75,4.00
Qd Jh 2h,3d,8s8d,0.050,40.51,4.08351,84.0037,0.14,2.53,0.13,3.14,99.73,4.09
Qd Jh 2h,3d,8s8h,0.077,39.91,4.12748,86.1791,0.12,2.38,0.13,3.01,99.75,4.13
Qd Jh 2h,3d,8s6s,0.049,5.11,0.41418,67.52,0.43,-0.51,0.17,-0.52,99.40,0.42
Qd Jh 2h,3d,8s7s,0.089,5.37,0.36782,57.0378,0.39,-0.49,0.16,-0.51,99.45,0.37
Qd Jh 2h,3d,9s8c,0.924,13.00,1.73235,111.051,0.58,1.25,0.28,1.00,99.14,1.74
Qd Jh 2h,3d,9s9c,0.029,44.65,4.4547,83.1485,0.09,2.38,0.11,3.47,99.80,4.46
Qd Jh 2h,3d,9s8d,0.934,13.07,1.78679,113.885,0.57,1.22,0.28,1.06,99.15,1.79
Qd Jh 2h,3d,9s9d,0.037,44.29,4.491,84.4906,0.10,2.39,0.11,3.42,99.79,4.49
Qd Jh 2h,3d,9s8h,0.903,13.10,1.81328,115.36,0.57,1.14,0.29,1.05,99.14,1.82
Qd Jh 2h,3d,9s9h,0.036,43.47,4.38855,84.1243,0.09,2.19,0.12,3.30,99.79,4.39
Qd Jh 2h,3d,9s6s,0.443,4.65,0.43858,78.5846,0.33,-0.65,0.14,-0.42,99.53,0.44
Qd Jh 2h,3d,9s7s,0.600,4.91,0.41531,70.4462,0.31,-0.64,0.13,-0.42,99.56,0.42
Qd Jh 2h,3d,9s8s,0.913,13.00,1.69191,108.459,0.70,1.25,0.34,1.00,98.96,1.70
Qd Jh 2h,3d,Ts8c,0.917,13.35,1.71152,106.805,0.43,0.94,0.23,0.80,99.34,1.72
Qd Jh 2h,3d,Ts9c,0.902,21.36,3.23847,126.349,1.73,2.86,0.37,2.73,97.90,3.25
Qd Jh 2h,3d,TsTc,0.296,48.86,4.85991,82.8862,0.06,2.02,0.09,3.68,99.85,4.86
Qd Jh 2h,3d,Ts8d,0.923,13.43,1.75365,108.82,0.42,0.97,0.23,0.89,99.35,1.76
Qd Jh 2h,3d,Ts9d,0.870,21.44,3.09031,120.122,56.47,2.94,1.41,2.73,42.12,3.31
Qd Jh 2h,3d,TsTd,0.303,49.19,4.88764,82.8039,0.06,2.33,0.10,3.85,99.84,4.89
Qd Jh 2h,3d,Ts8h,0.718,13.09,1.75801,111.891,0.43,0.89,0.24,0.85,99.33,1.76
Qd Jh 2h,3d,Ts9h,0.856,21.19,3.00092,118.018,56.17,2.78,3.26,2.61,40.57,3.34
Qd Jh 2h,3d,TsTh,0.336,49.11,4.89255,83.0174,0.06,2.34,0.11,3.91,99.82,4.90
Qd Jh 2h,3d,Ts7s,0.843,5.24,0.40977,65.1382,0.32,-0.77,0.16,-0.36,99.52,0.41
Qd Jh 2h,3d,Ts8s,0.876,13.35,1.69138,105.548,0.53,0.94,0.28,0.80,99.19,1.70
