Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Jh 8d 2h,Jd,Th8h,0.460,71.50,9.52857,111.062,0.31,8.74,3.29,9.21,96.40,9.54
Jh 8d 2h,Jd,Th9h,0.995,41.31,8.12319,163.875,95.27,8.13,4.46,8.00,0.27,7.07
Jh 8d 2h,Jd,Th8s,0.657,65.34,7.57995,96.6719,0.12,6.63,0.09,7.05,99.80,7.58
Jh 8d 2h,Jd,Th9s,0.868,27.64,5.85932,176.63,82.22,6.05,2.85,5.70,14.94,4.82
Jh 8d 2h,Jd,Qh8c,0.687,65.53,7.07739,89.9982,0.13,6.84,0.12,7.18,99.75,7.08
Jh 8d 2h,Jd,Qh9c,0.876,20.49,3.19931,130.131,8.85,4.91,7.17,4.69,83.98,2.89
Jh 8d 2h,Jd,QhTc,0.825,22.08,4.3376,163.702,53.54,5.23,6.50,4.87,39.95,3.06
Jh 8d 2h,Jd,QhJc,0.655,92.00,15.6676,141.915,19.33,14.76,39.05,15.21,41.63,16.52
Jh 8d 2h,Jd,QhQc,0.998,78.24,11.1391,118.638,32.61,10.81,7.51,10.55,59.87,11.39
Jh 8d 2h,Jd,Qh9d,0.836,20.73,3.86377,155.351,10.77,4.82,49.38,4.46,39.85,2.86
Jh 8d 2h,Jd,QhTd,0.797,22.37,4.47387,166.66,55.89,5.13,8.42,4.93,35.69,3.34
Jh 8d 2h,Jd,QhQd,0.998,78.55,11.1038,117.798,52.15,10.92,8.79,10.59,39.05,11.47
Jh 8d 2h,Jd,Qh7h,0.481,29.15,6.05428,173.057,97.30,6.10,0.23,5.98,2.47,4.27
Jh 8d 2h,Jd,Qh8h,0.923,71.84,9.21356,106.883,0.35,8.86,46.59,9.26,53.06,9.17
Jh 8d 2h,Jd,Qh9h,0.980,36.18,7.06793,162.803,99.15,7.08,0.24,7.07,0.60,5.67
Jh 8d 2h,Jd,QhTh,0.969,37.42,7.40225,164.849,99.23,7.41,0.26,7.32,0.52,5.88
Jh 8d 2h,Jd,Qh8s,0.687,65.53,7.07785,90.0009,0.13,6.84,0.12,7.18,99.75,7.08
Jh 8d 2h,Jd,Qh9s,0.876,20.49,3.19884,130.109,8.82,4.91,7.17,4.69,84.00,2.89
Jh 8d 2h,Jd,QhTs,0.825,22.08,4.33782,163.706,53.55,5.23,6.50,4.87,39.94,3.06
Jh 8d 2h,Jd,QhJs,0.655,92.00,15.6677,141.912,19.34,14.76,39.06,15.22,41.60,16.52
Jh 8d 2h,Jd,Kh7c,0.983,16.97,1.17247,57.56,0.33,3.71,0.22,3.55,99.44,1.16
Jh 8d 2h,Jd,Kh8c,0.663,66.18,7.15763,90.1255,0.11,7.08,0.31,7.43,99.59,7.16
Jh 8d 2h,Jd,Kh9c,0.973,19.29,1.43485,61.993,0.60,4.16,1.06,3.77,98.34,1.39
Jh 8d 2h,Jd,KhTc,0.908,20.43,1.70407,69.4952,0.66,4.26,0.47,3.93,98.88,1.68
Jh 8d 2h,Jd,KhJc,0.572,93.37,15.6988,140.105,95.52,15.67,4.35,16.19,0.12,17.26
Jh 8d 2h,Jd,KhQc,0.856,23.02,2.00419,72.5413,1.93,4.77,1.36,4.36,96.71,1.92
Jh 8d 2h,Jd,KhKc,0.997,78.50,11.3427,120.418,1.22,10.91,17.90,10.68,80.88,11.50
Jh 8d 2h,Jd,Kh7d,0.980,17.17,1.15614,56.0981,0.40,3.88,0.28,3.65,99.33,1.14
Jh 8d 2h,Jd,Kh9d,0.975,19.51,1.72756,73.7981,0.89,4.16,7.23,3.82,91.87,1.54
Jh 8d 2h,Jd,KhTd,0.953,20.72,1.93971,78.0071,1.55,4.39,5.12,4.06,93.33,1.78
Jh 8d 2h,Jd,KhQd,0.884,23.24,2.41447,86.5696,1.98,4.76,15.95,4.46,82.07,1.96
Jh 8d 2h,Jd,KhKd,0.997,79.21,11.7918,124.056,0.48,10.89,4.00,10.99,95.52,11.83
Jh 8d 2h,Jd,Kh3h,0.975,32.89,5.2645,133.367,44.45,6.33,1.79,6.19,53.76,4.35
Jh 8d 2h,Jd,Kh4h,0.975,32.90,5.19821,131.664,41.32,6.32,1.74,6.19,56.94,4.36
Jh 8d 2h,Jd,Kh5h,0.977,32.73,4.65144,118.444,13.64,6.31,1.86,6.20,84.50,4.35
Jh 8d 2h,Jd,Kh6h,0.975,32.73,4.29156,109.27,0.70,6.22,0.27,6.12,99.03,4.27
Jh 8d 2h,Jd,Kh7h,0.977,33.39,4.33519,108.194,0.73,6.23,0.28,6.14,98.98,4.32
Jh 8d 2h,Jd,Kh8h,0.847,72.50,9.16417,105.338,0.20,9.03,2.76,9.57,97.04,9.15
Jh 8d 2h,Jd,Kh9h,0.953,35.80,5.31416,123.689,20.16,6.66,21.73,6.09,58.11,4.56
Jh 8d 2h,Jd,KhTh,0.848,36.75,5.32724,120.808,23.79,6.82,1.74,6.39,74.47,4.82
Jh 8d 2h,Jd,KhQh,0.730,38.72,5.83424,125.566,37.02,7.03,2.26,6.62,60.72,5.08
Jh 8d 2h,Jd,Kh7s,0.983,16.97,1.17246,57.5594,0.33,3.71,0.22,3.55,99.44,1.16
Jh 8d 2h,Jd,Kh8s,0.662,66.18,7.15762,90.1222,0.11,7.08,0.31,7.43,99.59,7.16
Jh 8d 2h,Jd,Kh9s,0.973,19.29,1.43481,61.9897,0.60,4.16,1.06,3.77,98.34,1.39
Jh 8d 2h,Jd,KhTs,0.908,20.43,1.70408,69.494,0.66,4.26,0.47,3.93,98.88,1.68
