Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Jh 8d 2h,3h,Ad3s,0.789,26.92,1.92877,59.7055,1.30,1.78,1.14,1.69,97.56,1.93
Jh 8d 2h,3h,Ad4s,0.766,13.15,1.35765,86.039,0.39,0.36,0.92,0.94,98.69,1.37
Jh 8d 2h,3h,Ad5s,0.519,13.28,1.33778,83.9255,0.42,0.34,0.93,0.95,98.65,1.35
Jh 8d 2h,3h,Ad6s,0.040,6.40,0.16895,22.0116,0.29,-0.95,0.26,-0.36,99.45,0.17
Jh 8d 2h,3h,Ad7s,0.189,7.17,0.13072,15.1879,0.26,-0.90,0.23,-0.39,99.51,0.13
Jh 8d 2h,3h,Ad8s,0.514,39.80,2.89674,60.6484,0.20,2.49,0.15,2.50,99.65,2.90
Jh 8d 2h,3h,Ad9s,0.201,10.48,0.88944,70.7179,0.26,-0.38,0.25,-0.22,99.49,0.90
Jh 8d 2h,3h,AdTs,0.172,15.65,1.50451,80.0962,0.26,-0.01,0.19,0.24,99.55,1.51
Jh 8d 2h,3h,AdJs,0.953,72.69,9.40127,107.779,1.51,9.50,22.19,9.55,76.31,9.36
Jh 8d 2h,3h,AdQs,0.067,21.31,1.73677,67.9097,0.92,1.25,47.39,1.28,51.69,2.16
Jh 8d 2h,3h,AdKs,0.007,21.23,1.12409,44.1263,0.39,1.25,96.50,1.13,3.11,1.07
Jh 8d 2h,3h,4h4c,0.784,35.66,3.22806,75.4456,1.05,2.81,2.93,2.86,96.02,3.24
Jh 8d 2h,3h,4h4d,0.771,35.66,3.23266,75.553,1.06,2.81,2.99,2.86,95.95,3.25
Jh 8d 2h,3h,5h5c,0.648,35.91,3.12553,72.5272,3.36,2.97,15.90,2.92,80.74,3.17
Jh 8d 2h,3h,5h5d,0.622,35.77,3.06437,71.3863,3.41,3.04,19.34,2.97,77.24,3.09
Jh 8d 2h,3h,6h6c,0.395,37.24,3.20222,71.6621,0.88,3.04,1.01,3.06,98.11,3.21
Jh 8d 2h,3h,6h6d,0.292,37.24,3.20555,71.7367,0.87,3.03,0.99,3.06,98.14,3.21
Jh 8d 2h,3h,6h5h,0.438,87.20,15.5081,148.212,0.60,15.10,98.28,15.52,1.12,15.08
Jh 8d 2h,3h,7h7c,0.025,40.73,3.58656,73.3762,0.94,3.46,2.09,3.56,96.97,3.59
Jh 8d 2h,3h,7h7d,0.026,40.21,3.54288,73.4214,0.96,3.46,75.66,3.56,23.39,3.50
Jh 8d 2h,3h,7h5h,0.331,87.32,15.3434,146.429,0.84,15.03,88.24,15.39,10.92,14.97
Jh 8d 2h,3h,7h6h,0.272,87.03,14.8022,141.728,0.49,14.76,4.13,15.18,95.37,14.79
Jh 8d 2h,3h,8h8c,0.999,87.48,16.4831,157.011,8.07,16.38,91.46,16.49,0.46,16.02
Jh 8d 2h,3h,8h6h,0.852,89.00,15.7957,147.9,0.41,16.17,89.68,15.83,9.91,15.44
Jh 8d 2h,3h,8h7h,0.893,89.05,16.0158,149.881,1.07,16.63,90.58,16.05,8.36,15.58
Jh 8d 2h,3h,9h8c,0.755,48.21,4.48576,77.5319,1.65,4.79,29.73,4.53,68.62,4.46
Jh 8d 2h,3h,9h9c,0.538,54.20,5.37331,82.612,0.77,5.43,38.89,5.26,60.35,5.45
Jh 8d 2h,3h,9h9d,0.647,54.26,5.36228,82.3561,0.72,5.44,23.55,5.27,75.73,5.39
Jh 8d 2h,3h,9h6h,0.402,89.02,16.307,152.647,0.58,15.83,98.82,16.31,0.60,15.83
Jh 8d 2h,3h,9h7h,0.976,88.99,16.2849,152.495,0.77,15.88,98.56,16.29,0.67,15.73
Jh 8d 2h,3h,9h8h,0.852,90.06,16.7165,154.671,0.72,17.25,98.81,16.72,0.46,16.17
Jh 8d 2h,3h,9h8s,0.755,48.22,4.48583,77.5305,1.64,4.79,29.72,4.53,68.64,4.46
Jh 8d 2h,3h,Th8c,0.657,50.17,5.33391,88.6007,0.44,5.21,0.65,4.72,98.91,5.34
Jh 8d 2h,3h,Th9c,0.868,32.40,4.24152,109.103,3.68,4.04,64.21,4.13,32.11,4.48
Jh 8d 2h,3h,ThTc,0.563,59.73,6.56931,91.6587,1.98,6.68,1.15,6.43,96.87,6.57
Jh 8d 2h,3h,Th9d,0.878,32.42,4.23836,108.95,4.19,4.03,65.97,4.14,29.84,4.49
Jh 8d 2h,3h,ThTd,0.568,59.98,6.64518,92.3176,2.21,6.72,1.19,6.46,96.60,6.65
Jh 8d 2h,3h,Th7h,0.817,90.44,16.4752,151.805,1.17,16.10,97.32,16.49,1.52,16.09
Jh 8d 2h,3h,Th8h,0.460,90.78,16.0974,147.765,0.47,15.66,27.64,16.30,71.89,16.02
Jh 8d 2h,3h,Th9h,0.995,90.47,16.8371,155.084,0.93,16.42,98.78,16.84,0.30,16.45
Jh 8d 2h,3h,Th8s,0.657,50.17,5.33391,88.5982,0.44,5.21,0.65,4.72,98.91,5.34
Jh 8d 2h,3h,Th9s,0.868,32.40,4.24145,109.101,3.68,4.04,64.23,4.13,32.09,4.48
Jh 8d 2h,3h,Qh8c,0.687,51.11,5.81554,94.8296,0.26,5.19,0.19,5.14,99.55,5.82
Jh 8d 2h,3h,Qh9c,0.876,29.60,3.82422,107.663,18.53,3.77,51.90,3.61,29.57,4.24
Jh 8d 2h,3h,QhTc,0.825,29.66,4.0753,114.497,1.13,3.58,11.37,3.57,87.50,4.15
Jh 8d 2h,3h,QhJc,0.655,73.55,9.36157,106.074,0.20,9.08,0.28,9.63,99.52,9.36
Jh 8d 2h,3h,QhQc,0.998,80.81,12.1342,125.137,0.79,12.10,98.26,12.14,0.96,11.87
Jh 8d 2h,3h,Qh9d,0.836,29.63,3.78497,106.447,18.97,3.76,57.73,3.61,23.29,4.25
Jh 8d 2h,3h,QhTd,0.797,29.72,4.09241,114.732,1.14,3.66,11.01,3.63,87.86,4.16
Jh 8d 2h,3h,QhJd,0.446,73.34,9.32226,105.929,0.19,9.00,0.33,9.59,99.48,9.32
Jh 8d 2h,3h,QhQd,0.998,80.93,12.1783,125.395,0.70,12.19,98.47,12.18,0.83,11.90
Jh 8d 2h,3h,Qh7h,0.481,91.69,17.5766,159.742,7.60,17.33,91.18,17.61,1.21,16.97
Jh 8d 2h,3h,Qh8h,0.923,91.31,16.4945,150.539,0.60,16.17,49.93,16.75,49.47,16.24
Jh 8d 2h,3h,Qh9h,0.980,91.49,17.6594,160.858,2.54,17.30,97.07,17.67,0.39,17.06
Jh 8d 2h,3h,QhTh,0.969,91.41,17.1028,155.915,0.99,16.58,98.63,17.11,0.38,16.75
Jh 8d 2h,3h,Qh8s,0.687,51.11,5.81555,94.8277,0.26,5.19,0.19,5.14,99.55,5.82
Jh 8d 2h,3h,Qh9s,0.876,29.60,3.82415,107.659,18.53,3.77,51.91,3.61,29.56,4.24
Jh 8d 2h,3h,QhTs,0.825,29.66,4.07533,114.495,1.13,3.58,11.37,3.57,87.50,4.15
Jh 8d 2h,3h,QhJs,0.655,73.55,9.36187,106.073,0.20,9.08,0.28,9.64,99.52,9.36
Jh 8d 2h,3h,Kh7c,0.983,24.70,3.34933,112.996,74.35,3.38,21.71,3.33,3.94,2.90
Jh 8d 2h,3h,Kh8c,0.663,53.46,5.79648,90.3601,0.38,5.93,0.67,6.04,98.94,5.79
Jh 8d 2h,3h,Kh9c,0.973,25.02,3.342,111.313,50.30,3.29,45.74,3.37,3.96,3.64
Jh 8d 2h,3h,KhTc,0.908,24.96,3.51703,117.443,7.77,3.20,32.07,3.31,60.16,3.67
Jh 8d 2h,3h,KhJc,0.572,79.77,11.1646,116.629,0.88,11.32,7.31,11.52,91.81,11.14
Jh 8d 2h,3h,KhQc,0.856,26.84,3.96251,123.017,5.36,3.92,90.39,3.97,4.25,3.87
Jh 8d 2h,3h,KhKc,0.997,83.14,13.3692,134.01,1.63,13.30,91.02,13.40,7.34,13.01
Jh 8d 2h,3h,Kh7d,0.980,24.70,3.35727,113.261,74.86,3.38,22.66,3.33,2.48,2.93
