Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
8h 4d 2h,QdTc,1.000,18.89,1.24619,109.948,68.61,1.44,31.39,0.82
8h 4d 2h,QdJc,1.000,21.25,1.32634,104.028,85.14,1.39,14.86,0.98
8h 4d 2h,QdQc,1.000,79.56,8.9522,187.538,95.67,8.93,4.33,9.35
8h 4d 2h,Qd8d,1.000,67.54,5.75311,141.965,84.44,5.72,15.56,5.92
8h 4d 2h,Qd9d,1.000,23.22,1.99162,142.952,90.17,2.03,9.83,1.62
8h 4d 2h,QdTd,1.000,23.08,2.21124,159.676,98.54,2.22,1.46,1.49
8h 4d 2h,QdJd,1.000,25.33,1.93255,127.166,97.60,1.94,2.40,1.69
8h 4d 2h,QdTh,1.000,22.38,2.0669,153.921,98.13,2.08,1.87,1.41
8h 4d 2h,QdJh,1.000,24.90,2.06666,138.353,94.19,2.09,5.81,1.68
8h 4d 2h,QdTs,1.000,18.89,1.2462,109.949,68.61,1.44,31.39,0.82
8h 4d 2h,QdJs,1.000,21.25,1.32631,104.025,85.14,1.39,14.86,0.98
8h 4d 2h,KdTc,1.000,21.19,0.76406,60.1096,5.93,1.50,94.07,0.72
8h 4d 2h,KdJc,1.000,23.48,1.08323,76.8747,37.83,1.48,62.17,0.84
8h 4d 2h,KdQc,1.000,28.12,1.49614,88.6711,80.42,1.60,19.58,1.06
8h 4d 2h,KdKc,1.000,83.21,10.1283,202.856,95.61,10.10,4.39,10.78
8h 4d 2h,Kd8d,1.000,66.77,5.70807,142.479,89.63,5.69,10.37,5.86
8h 4d 2h,Kd9d,1.000,25.32,1.93479,127.351,69.56,2.14,30.44,1.46
8h 4d 2h,KdTd,1.000,25.31,2.10179,138.4,97.63,2.12,2.37,1.36
8h 4d 2h,KdJd,1.000,27.50,2.06237,124.98,95.75,2.09,4.25,1.53
8h 4d 2h,KdQd,1.000,31.72,1.9459,102.241,89.20,1.97,10.80,1.72
8h 4d 2h,KdTh,1.000,24.78,1.98149,133.269,97.10,2.00,2.90,1.25
8h 4d 2h,KdJh,1.000,27.23,2.12651,130.147,95.12,2.16,4.88,1.49
8h 4d 2h,KdQh,1.000,32.04,2.17854,113.335,88.51,2.24,11.49,1.74
8h 4d 2h,KdTs,1.000,21.19,0.76406,60.1094,5.93,1.50,94.07,0.72
8h 4d 2h,KdJs,1.000,23.48,1.08322,76.8735,37.83,1.48,62.17,0.84
8h 4d 2h,KdQs,1.000,28.12,1.49612,88.6703,80.42,1.60,19.58,1.06
8h 4d 2h,Ad9c,1.000,31.11,1.34078,71.8246,94.52,1.37,5.48,0.82
8h 4d 2h,AdTc,1.000,34.43,1.00741,48.7728,43.97,1.21,56.03,0.85
8h 4d 2h,AdJc,1.000,42.20,1.39857,55.2304,49.24,1.48,50.76,1.32
8h 4d 2h,AdQc,1.000,50.17,2.12919,70.7262,33.00,2.10,67.00,2.14
8h 4d 2h,AdKc,1.000,56.96,3.16248,92.5393,64.75,3.17,35.25,3.15
8h 4d 2h,AdAc,1.000,88.19,11.1654,211.004,96.97,11.14,3.03,11.95
8h 4d 2h,Ad2d,1.000,60.59,4.25107,116.941,83.86,4.22,16.14,4.43
8h 4d 2h,Ad3d,1.000,42.72,3.72767,145.416,98.06,3.73,1.94,3.50
8h 4d 2h,Ad5d,1.000,43.82,4.00533,152.355,97.62,4.01,2.38,3.85
8h 4d 2h,Ad6d,1.000,34.69,1.87525,90.0906,74.88,1.98,25.12,1.56
8h 4d 2h,Ad7d,1.000,34.85,1.85412,88.6827,77.04,1.95,22.96,1.54
