Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
8h 4d 2h,Ah5h,1.000,63.75,8.63685,225.814,99.42,8.64,0.58,8.56
8h 4d 2h,Ah6h,1.000,57.89,6.68426,192.454,93.64,6.68,6.36,6.68
8h 4d 2h,Ah7h,1.000,58.07,6.73784,193.394,95.57,6.74,4.43,6.74
8h 4d 2h,Ah9h,1.000,57.95,6.66603,191.703,97.94,6.67,2.06,6.66
8h 4d 2h,AhTh,1.000,60.30,6.44522,178.155,92.58,6.45,7.42,6.44
8h 4d 2h,AhJh,1.000,65.48,6.61828,168.461,76.79,6.62,23.21,6.62
8h 4d 2h,AhQh,1.000,70.76,7.06516,166.403,60.80,7.07,39.20,7.07
8h 4d 2h,AhKh,1.000,75.19,7.8099,173.116,52.78,7.81,47.22,7.81
8h 4d 2h,Ah9s,1.000,34.95,1.91302,91.2191,96.77,1.91,3.23,1.91
8h 4d 2h,AhTs,1.000,38.29,1.85768,80.855,96.08,1.86,3.92,1.86
8h 4d 2h,AhJs,1.000,46.09,2.21256,80.0029,80.21,2.21,19.79,2.21
8h 4d 2h,AhQs,1.000,54.09,2.95486,91.0481,58.47,2.95,41.53,2.96
8h 4d 2h,AhKs,1.000,60.91,3.98008,108.907,79.36,3.98,20.64,3.98
8h 4d 2h,2s2c,1.000,91.27,13.0758,238.781,99.42,13.08,0.58,13.03
8h 4d 2h,2s2d,1.000,91.27,13.0738,238.744,99.48,13.07,0.52,13.01
8h 4d 2h,3s3c,1.000,53.69,3.08886,95.8891,76.49,3.09,23.51,3.09
8h 4d 2h,3s3d,1.000,53.74,3.10657,96.3526,80.62,3.11,19.38,3.11
8h 4d 2h,3s3h,1.000,55.48,3.37957,101.518,68.18,3.38,31.82,3.38
8h 4d 2h,4s4c,1.000,91.35,13.1107,239.213,99.48,13.11,0.52,13.05
8h 4d 2h,4s4h,1.000,91.60,13.153,239.311,99.50,13.15,0.50,13.09
8h 4d 2h,5s5c,1.000,54.70,3.31494,101.009,73.31,3.31,26.69,3.32
8h 4d 2h,5s5d,1.000,54.75,3.32853,101.334,75.87,3.33,24.13,3.33
8h 4d 2h,5s5h,1.000,56.47,3.59732,106.169,84.29,3.60,15.71,3.60
8h 4d 2h,6s6c,1.000,56.07,3.37629,100.368,38.27,3.38,61.73,3.38
8h 4d 2h,6s6d,1.000,56.12,3.39482,100.824,39.57,3.39,60.43,3.39
8h 4d 2h,6s6h,1.000,57.90,3.66997,105.639,59.84,3.67,40.16,3.67
8h 4d 2h,6s5s,1.000,42.05,5.04306,199.865,93.88,5.04,6.12,5.04
8h 4d 2h,7s7c,1.000,58.55,3.70872,105.577,28.35,3.71,71.65,3.71
8h 4d 2h,7s7d,1.000,58.60,3.72896,106.059,31.44,3.73,68.56,3.73
8h 4d 2h,7s7h,1.000,60.42,4.02303,110.971,54.24,4.02,45.76,4.02
8h 4d 2h,7s6s,1.000,31.26,3.05981,163.153,88.84,3.06,11.16,3.06
8h 4d 2h,8s8c,1.000,94.08,15.5889,276.157,99.78,15.59,0.22,15.37
8h 4d 2h,8s8d,1.000,94.08,15.5793,275.987,99.78,15.58,0.22,15.36
8h 4d 2h,8s7s,1.000,63.26,5.0986,134.338,96.51,5.10,3.49,5.09
8h 4d 2h,9s9c,1.000,61.99,4.41748,118.77,59.51,4.42,40.49,4.42
8h 4d 2h,9s9d,1.000,62.04,4.44913,119.525,60.48,4.45,39.52,4.45
8h 4d 2h,9s9h,1.000,63.87,4.84169,126.341,92.91,4.84,7.09,4.84
8h 4d 2h,9s8s,1.000,64.19,5.21093,135.308,94.56,5.21,5.44,5.21
8h 4d 2h,TsTc,1.000,65.78,5.39,136.57,95.49,5.39,4.51,5.39
8h 4d 2h,TsTd,1.000,65.96,5.38783,136.134,89.69,5.39,10.31,5.39
8h 4d 2h,TsTh,1.000,68.75,5.92176,143.568,95.37,5.92,4.63,5.92
8h 4d 2h,Ts8s,1.000,65.11,5.2984,135.632,64.02,5.30,35.98,5.30
8h 4d 2h,Ts9s,1.000,19.84,1.20176,100.955,74.20,1.20,25.80,1.20
8h 4d 2h,JsTc,1.000,18.62,0.85042,76.1013,13.03,0.84,86.97,0.85
8h 4d 2h,JsJc,1.000,72.20,6.95616,160.584,89.57,6.96,10.43,6.96
8h 4d 2h,JsTd,1.000,18.72,0.91811,81.7576,81.42,0.92,18.58,0.92
8h 4d 2h,JsJd,1.000,72.38,6.92628,159.485,84.84,6.93,15.16,6.93
